ITYP,INR,Datum,Art,Betreff,DOKTYP,DOKTYP_LANG,HIS_URL,VHG,VHG2,Fraktionen,THEMEN,SW,EUROVOC,DocumentLinks
AA,32,04.07.2007,AA,"Bundespflegegeldgesetz, (Bundesfinanzgesetz 2007)",AA,Abänderungsantrag,/gegenstand/XXIII/AA/32,ANTR,AA,"[""V"",""S""]",,,,"[{'title': 'Abänderungsantrag gescannt', 'link': '/dokument/XXIII/AA/32/imfname_083074.pdf', 'type': 'PDF'}]"
AA,34,04.07.2007,AA,Bundesvergabegesetz 2006,AA,Abänderungsantrag,/gegenstand/XXIII/AA/34,ANTR,AA,"[""F""]",,,,"[{'title': 'Abänderungsantrag gescannt', 'link': '/dokument/XXIII/AA/34/imfname_083072.pdf', 'type': 'PDF'}]"
AA,38,05.07.2007,AA,Kraftfahrgesetz 1967 (28. KFG-Novelle),AA,Abänderungsantrag,/gegenstand/XXIII/AA/38,ANTR,AA,"[""S"",""V""]",,,,"[{'title': 'Abänderungsantrag gescannt', 'link': '/dokument/XXIII/AA/38/imfname_083385.pdf', 'type': 'PDF'}]"
AA,40,05.07.2007,AA,Marktordnungsgesetz 2007 - MOG 2007)  und (Agrarrechtsänderungsgesetz 2007,AA,Abänderungsantrag,/gegenstand/XXIII/AA/40,ANTR,AA,"[""G""]",,,,"[{'title': 'Abänderungsantrag gescannt', 'link': '/dokument/XXIII/AA/40/imfname_083387.pdf', 'type': 'PDF'}]"
AA,41,06.07.2007,AA,Wertpapieraufsichtsgesetz 2007 - WAG 2007,AA,Abänderungsantrag,/gegenstand/XXIII/AA/41,ANTR,AA,"[""V"",""S""]",,,,"[{'title': 'Abänderungsantrag gescannt', 'link': '/dokument/XXIII/AA/41/imfname_083491.pdf', 'type': 'PDF'}]"
AA,42,06.07.2007,AA,Normverbrauchsabgabegesetz-NoVAG 1991,AA,Abänderungsantrag,/gegenstand/XXIII/AA/42,ANTR,AA,"[""V"",""S""]",,,,"[{'title': 'Abänderungsantrag gescannt', 'link': '/dokument/XXIII/AA/42/imfname_083490.pdf', 'type': 'PDF'}]"
AA,48,17.10.2007,AA,Ausländerbeschäftigungsgesetz und Arbeitsvertragsrechts-Anpassungsgesetz,AA,Abänderungsantrag,/gegenstand/XXIII/AA/48,ANTR,AA,"[""V"",""S""]",,,,"[{'title': 'Abänderungsantrag gescannt', 'link': '/dokument/XXIII/AA/48/imfname_089246.pdf', 'type': 'PDF'}]"
AA,53,07.11.2007,AA,"Bundesgesetz, mit dem das Familienlastenausgleichsgesetz 1967 geändert wird",AA,Abänderungsantrag,/gegenstand/XXIII/AA/53,ANTR,AA,"[""F""]",,,,"[{'title': 'Abänderungsantrag gescannt', 'link': '/dokument/XXIII/AA/53/imfname_091270.pdf', 'type': 'PDF'}]"
AA,54,07.11.2007,AA,"Bundesgesetz, mit dem das Bundesgesetz über die Errichtung der Gesellschaft ""Familie & Beruf Management GmbH"" geändert wird",AA,Abänderungsantrag,/gegenstand/XXIII/AA/54,ANTR,AA,"[""G""]",,,,"[{'title': 'Abänderungsantrag gescannt', 'link': '/dokument/XXIII/AA/54/imfname_091269.pdf', 'type': 'PDF'}]"
AA,60,04.12.2007,AA,"Betriebliche Mitarbeitervorsorgegesetz, Einkommensteuergesetz 1988, ORF-Gesetz, Journalistengesetz, Arbeits- und Sozialgerichtsgesetz, Bankwesengesetz, Finanzmarktaufsichtsbehördengesetz, Familienlastenausgleichsgesetz, Landarbeitsgesetz 1984",AA,Abänderungsantrag,/gegenstand/XXIII/AA/60,ANTR,AA,"[""G""]",,,,"[{'title': 'Abänderungsantrag gescannt', 'link': '/dokument/XXIII/AA/60/imfname_094307.pdf', 'type': 'PDF'}]"
AA,88,06.12.2007,AA,2. Dienstrechts-Novelle 2007,AA,Abänderungsantrag,/gegenstand/XXIII/AA/88,ANTR,AA,"[""V"",""S""]",,,,"[{'title': 'Abänderungsantrag gescannt', 'link': '/dokument/XXIII/AA/88/imfname_094916.pdf', 'type': 'PDF'}]"
AA,91,30.01.2008,AA,Ökologisierungsgesetz 2007 (ÖkoG 2007),AA,Abänderungsantrag,/gegenstand/XXIII/AA/91,ANTR,AA,"[""F""]",,,,"[{'title': 'Abänderungsantrag gescannt', 'link': '/dokument/XXIII/AA/91/imfname_100304.pdf', 'type': 'PDF'}]"
