ITYP,INR,Datum,Art,Betreff,DOKTYP,DOKTYP_LANG,HIS_URL,VHG,VHG2,Fraktionen,THEMEN,SW,EUROVOC,DocumentLinks
AA,231,24.05.2006,AA,Energieausweis-Vorlage-Gesetz - EAVG,AA,Abänderungsantrag,/gegenstand/XXII/AA/231,ANTR,AA,"[""G""]",,,,"[{'title': 'Abänderungsantrag gescannt', 'link': '/dokument/XXII/AA/231/imfname_064380.pdf', 'type': 'PDF'}]"
AA,243,13.07.2006,AA,"Güterbeförderungsgesetz 1995 – GütbefG, Gelegenheitsverkehrs-Gesetz 1996 – GelverkG, Kraftfahrliniengesetz - KflG und das Führerscheingesetz - FSG",AA,Abänderungsantrag,/gegenstand/XXII/AA/243,ANTR,AA,"[""S""]",,,,"[{'title': 'Abänderungsantrag gescannt', 'link': '/dokument/XXII/AA/243/imfname_068126.pdf', 'type': 'PDF'}]"
AA,244,13.07.2006,AA,Olympia 2014-Ermächtigungsgesetz,AA,Abänderungsantrag,/gegenstand/XXII/AA/244,ANTR,AA,"[""S"",""V"",""F""]",,,,"[{'title': 'Abänderungsantrag gescannt', 'link': '/dokument/XXII/AA/244/imfname_068130.pdf', 'type': 'PDF'}]"
A,187,09.07.2003,A(E),rechtliche Absicherung gleichgeschlechtlicher Lebensgemeinschaften,A(E),Selbständiger Entschließungsantrag,/gegenstand/XXII/A/187,ANTR,SELBST,"[""S""]","[""Inneres und Recht""]","[""ZIVILRECHT""]","[""Bürgerliches Recht""]","[{'title': 'Entschließungsantrag gescannt', 'link': '/dokument/XXII/A/187/imfname_005764.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag textinterpretiert', 'link': '/dokument/XXII/A/187/fname_005772.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag textinterpretiert', 'link': '/dokument/XXII/A/187/fnameorig_005772.html', 'type': 'HTML'}]"
A,193,10.07.2003,A(E),Aufhebung der Zuverdienstgrenze beim Kinderbetreuungsgeld,A(E),Selbständiger Entschließungsantrag,/gegenstand/XXII/A/193,ANTR,SELBST,"[""G""]","[""Familie und Generationen""]","[""FAMILIENPOLITIK""]","[""Familie""]","[{'title': 'Entschließungsantrag gescannt', 'link': '/dokument/XXII/A/193/imfname_005823.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag textinterpretiert', 'link': '/dokument/XXII/A/193/fname_005826.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag textinterpretiert', 'link': '/dokument/XXII/A/193/fnameorig_005826.html', 'type': 'HTML'}]"
A,194,10.07.2003,A(E),Verbesserungen des Kinderbetreuungsgeldgesetzes,A(E),Selbständiger Entschließungsantrag,/gegenstand/XXII/A/194,ANTR,SELBST,"[""S""]","[""Familie und Generationen""]","[""FAMILIENPOLITIK""]","[""Familie""]","[{'title': 'Entschließungsantrag gescannt', 'link': '/dokument/XXII/A/194/imfname_005875.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag textinterpretiert', 'link': '/dokument/XXII/A/194/fname_005884.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag textinterpretiert', 'link': '/dokument/XXII/A/194/fnameorig_005884.html', 'type': 'HTML'}]"
A,198,10.07.2003,A(E),Wasserqualität und Zustand von Einzelwasserversorgungsanlagen (Hausbrunnen) - Schutz der Lebensressource Wasser,A(E),Selbständiger Entschließungsantrag,/gegenstand/XXII/A/198,ANTR,SELBST,"[""S""]","[""Gesundheit und Ernährung"",""Klima, Umwelt und Energie""]","[""LEBENSMITTEL"",""LEBENSMITTEL"",""WASSERWIRTSCHAFT""]","[""Agrarerzeugnisse und Lebensmittel"",""Wasser"",""Wasserbewirtschaftung""]","[{'title': 'Entschließungsantrag gescannt', 'link': '/dokument/XXII/A/198/imfname_005981.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag textinterpretiert', 'link': '/dokument/XXII/A/198/fname_006078.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag textinterpretiert', 'link': '/dokument/XXII/A/198/fnameorig_006078.html', 'type': 'HTML'}]"
A,209,02.09.2003,A(E),Klima-Konjunkturpaket 200 Mio. Euro für Umweltschutz und Beschäftigung,A(E),Selbständiger Entschließungsantrag,/gegenstand/XXII/A/209,ANTR,SELBST,"[""G""]","[""Arbeit"",""Budget und Finanzen"",""Klima, Umwelt und Energie""]","[""ARBEITSMARKT"",""ARBEITSMARKT"",""BUNDESHAUSHALT III"",""UMWELTSCHUTZ"",""UMWELTSCHUTZ""]","[""Beschäftigung und Arbeitsbedingungen"",""Öffentliche Finanzen und Haushaltspolitik"",""Umwelt""]","[{'title': 'Entschließungsantrag gescannt', 'link': '/dokument/XXII/A/209/imfname_007784.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag textinterpretiert', 'link': '/dokument/XXII/A/209/fname_007786.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag textinterpretiert', 'link': '/dokument/XXII/A/209/fnameorig_007786.html', 'type': 'HTML'}]"
A,218,24.09.2003,A(E),Ausbildungsreform im Bereich der ambulanten und stationären Altenbetreuung und -pflege,A(E),Selbständiger Entschließungsantrag,/gegenstand/XXII/A/218,ANTR,SELBST,"[""G""]","[""Gesundheit und Ernährung""]","[""GESUNDHEIT""]","[""Gesundheit""]","[{'title': 'Entschließungsantrag gescannt', 'link': '/dokument/XXII/A/218/imfname_008315.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag textinterpretiert', 'link': '/dokument/XXII/A/218/fname_008330.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag textinterpretiert', 'link': '/dokument/XXII/A/218/fnameorig_008330.html', 'type': 'HTML'}]"
A,219,24.09.2003,A(E),Freigabe von Cannabis für medizinische Zwecke,A(E),Selbständiger Entschließungsantrag,/gegenstand/XXII/A/219,ANTR,SELBST,"[""G""]","[""Gesundheit und Ernährung""]","[""GESUNDHEIT""]","[""Gesundheit""]","[{'title': 'Entschließungsantrag gescannt', 'link': '/dokument/XXII/A/219/imfname_008316.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag textinterpretiert', 'link': '/dokument/XXII/A/219/fname_008329.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag textinterpretiert', 'link': '/dokument/XXII/A/219/fnameorig_008329.html', 'type': 'HTML'}]"
