ITYP,INR,Datum,Art,Betreff,DOKTYP,DOKTYP_LANG,HIS_URL,VHG,VHG2,Fraktionen,THEMEN,SW,EUROVOC,DocumentLinks
A,208,22.05.1996,A,"Gentechnikgesetz, Änderung",A,Selbständiger Antrag,/gegenstand/XX/A/208,ANTR,SELBST,"[""G""]","[""Innovation, Technologie und Forschung""]","[""WISSENSCHAFT UND FORSCHUNG""]","[""Forschung und geistiges Eigentum"",""Wissenschaften""]","[{'title': 'Initiativantrag textinterpretiert', 'link': '/dokument/XX/A/208/fname_124545.pdf', 'type': 'PDF'}, {'title': 'Initiativantrag textinterpretiert', 'link': '/dokument/XX/A/208/fnameorig_124545.html', 'type': 'HTML'}]"
A,225,13.06.1996,A,"(Studienförderungsgesetz 1992), BGBl. Nr. 305/1992, zuletzt geändert durch BGBl. Nr. 201/1996, geändert wird",A,Selbständiger Antrag,/gegenstand/XX/A/225,ANTR,SELBST,"[""F""]","[""Bildung""]","[""BILDUNGSWESEN VI""]","[""Ausbildungsbeihilfe""]","[{'title': 'Initiativantrag textinterpretiert', 'link': '/dokument/XX/A/225/fname_124557.pdf', 'type': 'PDF'}, {'title': 'Initiativantrag textinterpretiert', 'link': '/dokument/XX/A/225/fnameorig_124557.html', 'type': 'HTML'}]"
A,226,13.06.1996,A,"Allgemeine Sozialversicherungsgesetz, Änderung",A,Selbständiger Antrag,/gegenstand/XX/A/226,ANTR,SELBST,"[""F""]","[""Soziales""]","[""SOZIALVERSICHERUNG I""]","[""soziale Sicherheit""]","[{'title': 'Initiativantrag textinterpretiert', 'link': '/dokument/XX/A/226/fname_124567.pdf', 'type': 'PDF'}, {'title': 'Initiativantrag textinterpretiert', 'link': '/dokument/XX/A/226/fnameorig_124567.html', 'type': 'HTML'}]"
A,227,13.06.1996,A(E),Auflösung der beiden noch bestehenden Straßenbausondergesellschaften,A(E),Selbständiger Entschließungsantrag,/gegenstand/XX/A/227,ANTR,SELBST,"[""F""]","[""Verkehr und Infrastruktur""]","[""STRASSEN- UND BRÜCKENBAU""]","[""Straßen- und Brückenbau""]","[{'title': 'Entschließungsantrag textinterpretiert', 'link': '/dokument/XX/A/227/fname_124566.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag textinterpretiert', 'link': '/dokument/XX/A/227/fnameorig_124566.html', 'type': 'HTML'}]"
A,231,13.06.1996,A(E),Entwicklung und Abstimmung der Lehrberufe im Umweltbereich,A(E),Selbständiger Entschließungsantrag,/gegenstand/XX/A/231,ANTR,SELBST,"[""L""]","[""Klima, Umwelt und Energie""]","[""UMWELTSCHUTZ""]","[""Umwelt""]","[{'title': 'Entschließungsantrag textinterpretiert', 'link': '/dokument/XX/A/231/fname_124562.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag textinterpretiert', 'link': '/dokument/XX/A/231/fnameorig_124562.html', 'type': 'HTML'}]"
A,234,13.06.1996,A(E),Beitrag Österreichs zur Reform der Vereinten Nationen,A(E),Selbständiger Entschließungsantrag,/gegenstand/XX/A/234,ANTR,SELBST,"[""F""]","[""Außenpolitik""]","[""VEREINTE NATIONEN""]","[""Vereinte Nationen""]","[{'title': 'Entschließungsantrag textinterpretiert', 'link': '/dokument/XX/A/234/fname_124569.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag textinterpretiert', 'link': '/dokument/XX/A/234/fnameorig_124569.html', 'type': 'HTML'}]"
A,242,27.06.1996,A,"Bauarbeiter-Urlaubs- und Abfertigungsgesetz, Arbeitsverfassungsgesetz u.a., Änderung",A,Selbständiger Antrag,/gegenstand/XX/A/242,ANTR,SELBST,"[""V"",""S""]","[""Arbeit""]","[""ARBEITSRECHT I""]","[""Arbeitsrecht""]","[{'title': 'Initiativantrag textinterpretiert', 'link': '/dokument/XX/A/242/fname_124580.pdf', 'type': 'PDF'}, {'title': 'Initiativantrag textinterpretiert', 'link': '/dokument/XX/A/242/fnameorig_124580.html', 'type': 'HTML'}]"
A,247,28.06.1996,A(E),Rücknahme des Belastungspakets im Bereich der Krankenversicherung,A(E),Selbständiger Entschließungsantrag,/gegenstand/XX/A/247,ANTR,SELBST,"[""F""]","[""Soziales""]","[""SOZIALVERSICHERUNG VI""]","[""soziale Sicherheit""]","[{'title': 'Entschließungsantrag textinterpretiert', 'link': '/dokument/XX/A/247/fname_124585.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag textinterpretiert', 'link': '/dokument/XX/A/247/fnameorig_124585.html', 'type': 'HTML'}]"
A,249,28.06.1996,A(E),"Ungleichbehandlung von Preisen, Förderungen und Stipendien Kunstförderungsgesetz (zurückgezogen)",A(E),Selbständiger Entschließungsantrag,/gegenstand/XX/A/249,ANTR,SELBST,"[""G""]","[""Budget und Finanzen""]","[""GESCHÄFTSORDNUNG DES NATIONALRATES"",""STEUERN UND GEBÜHREN"",""GO-NR SONSTIGE GESCHÄFTSORDNUNGSANGELEGENHEITEN""]","[""Steuerwesen""]","[{'title': 'Entschließungsantrag textinterpretiert', 'link': '/dokument/XX/A/249/fname_124583.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag textinterpretiert', 'link': '/dokument/XX/A/249/fnameorig_124583.html', 'type': 'HTML'}]"
A,260,28.06.1996,A(E),Rechtschreibreform,A(E),Selbständiger Entschließungsantrag,/gegenstand/XX/A/260,ANTR,SELBST,"[""F""]","[""Bildung""]","[""BILDUNGSWESEN VIII""]","[""Bildung"",""Organisation des Unterrichtswesens""]","[{'title': 'Entschließungsantrag textinterpretiert', 'link': '/dokument/XX/A/260/fname_124592.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag textinterpretiert', 'link': '/dokument/XX/A/260/fnameorig_124592.html', 'type': 'HTML'}]"
