ITYP,INR,Datum,Art,Betreff,DOKTYP,DOKTYP_LANG,HIS_URL,VHG,VHG2,Fraktionen,THEMEN,SW,EUROVOC,DocumentLinks
A,569,12.12.2001,A(E),Zweckbindung von Wohnbaufördermitteln für umfassende Gebäudesanierungen,A(E),Selbständiger Entschließungsantrag,/gegenstand/XXI/A/569,ANTR,SELBST,"[""G""]","[""Inneres und Recht"",""Parlament und Demokratie"",""Soziales"",""Wirtschaft""]","[""BAUWESEN"",""VEREINBARUNGEN"",""VEREINBARUNGEN"",""WOHNUNGSWESEN"",""WOHNUNGSWESEN""]","[""Bauindustrie und öffentliches Bauwesen"",""Baupolitik"",""Föderalismus"",""Wohnungspolitik""]","[{'title': 'Entschließungsantrag (gescanntes Original)', 'link': '/dokument/XXI/A/569/fname_600436.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag (gescanntes Original)', 'link': '/dokument/XXI/A/569/fnameorig_600436.html', 'type': 'HTML'}]"
A,583,13.12.2001,A(E),Schaffung einer eindeutigen Rechtsgrundlage für die PatientInnenentschädigung nach Behandlungsfehlern,A(E),Selbständiger Entschließungsantrag,/gegenstand/XXI/A/583,ANTR,SELBST,"[""S""]","[""Gesundheit und Ernährung""]","[""GESUNDHEIT""]","[""Gesundheit""]","[{'title': 'Entschließungsantrag (gescanntes Original)', 'link': '/dokument/XXI/A/583/fname_600445.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag (gescanntes Original)', 'link': '/dokument/XXI/A/583/fnameorig_600445.html', 'type': 'HTML'}]"
A,600,31.01.2002,A(E),"""Schwarzen Liste"" sozial- und arbeitsrechtlich unzuverlässiger Güterbeförderungsunternehmen",A(E),Selbständiger Entschließungsantrag,/gegenstand/XXI/A/600,ANTR,SELBST,"[""G""]","[""Arbeit"",""Wirtschaft""]","[""ARBEITSRECHT I"",""HANDEL, GEWERBE UND INDUSTRIE"",""HANDEL, GEWERBE UND INDUSTRIE""]","[""Arbeitsrecht"",""Handel"",""Industrie"",""Unternehmen und Wettbewerb""]","[{'title': 'Entschließungsantrag (gescanntes Original)', 'link': '/dokument/XXI/A/600/fname_600468.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag (gescanntes Original)', 'link': '/dokument/XXI/A/600/fnameorig_600468.html', 'type': 'HTML'}]"
A,601,31.01.2002,A(E),Umsetzung des VfGH-Erkenntnisses zu zweisprachigen Ortstafeln nach dem Volksgruppengesetz,A(E),Selbständiger Entschließungsantrag,/gegenstand/XXI/A/601,ANTR,SELBST,"[""G""]","[""Inneres und Recht""]","[""VOLKSGRUPPEN""]","[""ethnische Gruppe""]","[{'title': 'Entschließungsantrag (gescanntes Original)', 'link': '/dokument/XXI/A/601/fname_600467.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag (gescanntes Original)', 'link': '/dokument/XXI/A/601/fnameorig_600467.html', 'type': 'HTML'}]"
A,602,31.01.2002,A(E),"Aufenthaltsstatus von AusländerInnen ohne Aufenthaltsrecht (""Legalisierungsaktion"")",A(E),Selbständiger Entschließungsantrag,/gegenstand/XXI/A/602,ANTR,SELBST,"[""G""]","[""Inneres und Recht""]","[""AUSLÄNDER:IN""]","[""ausländischer Staatsangehöriger""]","[{'title': 'Entschließungsantrag (gescanntes Original)', 'link': '/dokument/XXI/A/602/fname_600466.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag (gescanntes Original)', 'link': '/dokument/XXI/A/602/fnameorig_600466.html', 'type': 'HTML'}]"
A,606,31.01.2002,A(E),Lebensmittel: Kürzere Haltbarkeitsfristen und effektivere Kontrollen,A(E),Selbständiger Entschließungsantrag,/gegenstand/XXI/A/606,ANTR,SELBST,"[""S""]","[""Gesundheit und Ernährung""]","[""LEBENSMITTEL""]","[""Agrarerzeugnisse und Lebensmittel""]","[{'title': 'Entschließungsantrag (gescanntes Original)', 'link': '/dokument/XXI/A/606/fname_600473.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag (gescanntes Original)', 'link': '/dokument/XXI/A/606/fnameorig_600473.html', 'type': 'HTML'}]"
A,608,31.01.2002,A(E),Novellierungsbedarf für das Telekommunikationsgesetz,A(E),Selbständiger Entschließungsantrag,/gegenstand/XXI/A/608,ANTR,SELBST,"[""S"",""V"",""G"",""F""]","[""Information und Medien""]","[""POST- UND FERNMELDEWESEN""]","[""Post- und Fernmeldewesen""]","[{'title': 'Entschließungsantrag (gescanntes Original)', 'link': '/dokument/XXI/A/608/fname_600471.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag (gescanntes Original)', 'link': '/dokument/XXI/A/608/fnameorig_600471.html', 'type': 'HTML'}]"
A,614,27.02.2002,A(E),Umsetzung des Artikel 7 (1) B-VG,A(E),Selbständiger Entschließungsantrag,/gegenstand/XXI/A/614,ANTR,SELBST,"[""G""]","[""Inneres und Recht"",""Soziales""]","[""BUNDESVERFASSUNG"",""MENSCHEN MIT BEHINDERUNG""]","[""Behinderter"",""Verfassung""]","[{'title': 'Entschließungsantrag (gescanntes Original)', 'link': '/dokument/XXI/A/614/fname_600486.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag (gescanntes Original)', 'link': '/dokument/XXI/A/614/fnameorig_600486.html', 'type': 'HTML'}]"
A,619,27.02.2002,A(E),Pestizid-Aktionsprogramm zur Reduktion des Pflanzenschutzmitteleinsatzes in Österreich,A(E),Selbständiger Entschließungsantrag,/gegenstand/XXI/A/619,ANTR,SELBST,"[""G""]","[""Klima, Umwelt und Energie""]","[""UMWELTSCHUTZ""]","[""Umwelt""]","[{'title': 'Entschließungsantrag (gescanntes Original)', 'link': '/dokument/XXI/A/619/fname_600481.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag (gescanntes Original)', 'link': '/dokument/XXI/A/619/fnameorig_600481.html', 'type': 'HTML'}]"
A,621,27.02.2002,A(E),Schaffung von Arbeitsplätzen am ersten Arbeitsmarkt für Menschen mit Behinderung,A(E),Selbständiger Entschließungsantrag,/gegenstand/XXI/A/621,ANTR,SELBST,"[""G""]","[""Arbeit"",""Soziales""]","[""ARBEITSMARKT"",""ARBEITSMARKT"",""MENSCHEN MIT BEHINDERUNG""]","[""Behinderter"",""Beschäftigung und Arbeitsbedingungen""]","[{'title': 'Entschließungsantrag (gescanntes Original)', 'link': '/dokument/XXI/A/621/fname_600489.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag (gescanntes Original)', 'link': '/dokument/XXI/A/621/fnameorig_600489.html', 'type': 'HTML'}]"
A,622,27.02.2002,A(E),Kärntner Untersuchungsausschuss zur Aufklärung der Reisetätigkeit des Kärntner Landeshauptmannes,A(E),Selbständiger Entschließungsantrag,/gegenstand/XXI/A/622,ANTR,SELBST,"[""G""]","[""Inneres und Recht"",""Parlament und Demokratie""]","[""BUNDESLÄNDER""]","[""Gliedstaat""]","[{'title': 'Entschließungsantrag (gescanntes Original)', 'link': '/dokument/XXI/A/622/fname_600488.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag (gescanntes Original)', 'link': '/dokument/XXI/A/622/fnameorig_600488.html', 'type': 'HTML'}]"
A,637,20.03.2002,A,"Volkszählungsgesetz, Änderung",A,Selbständiger Antrag,/gegenstand/XXI/A/637,ANTR,SELBST,"[""G""]","[""Soziales""]","[""ERSTE LESUNGEN"",""VOLKSZÄHLUNG""]","[""Gesetzgebungsverfahren"",""Volkszählung""]","[{'title': 'Initiativantrag (gescanntes Original)', 'link': '/dokument/XXI/A/637/fname_600506.pdf', 'type': 'PDF'}, {'title': 'Initiativantrag (gescanntes Original)', 'link': '/dokument/XXI/A/637/fnameorig_600506.html', 'type': 'HTML'}]"
A,641,20.03.2002,A(E),Kürzung der Dauer des Zivildienstes,A(E),Selbständiger Entschließungsantrag,/gegenstand/XXI/A/641,ANTR,SELBST,"[""G""]","[""Landesverteidigung""]","[""ZIVILDIENST""]","[""Zivildienst""]","[{'title': 'Entschließungsantrag (gescanntes Original)', 'link': '/dokument/XXI/A/641/fname_600513.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag (gescanntes Original)', 'link': '/dokument/XXI/A/641/fnameorig_600513.html', 'type': 'HTML'}]"
A,647,21.03.2002,A,"Bundes-Verfassungsgesetz und Geschäftsordnungsgesetz des Nationalrats, Änderung",A,Selbständiger Antrag,/gegenstand/XXI/A/647,ANTR,SELBST,"[""G""]","[""Inneres und Recht"",""Parlament und Demokratie""]","[""AUSSCHÜSSE DES NATIONALRATES"",""AUSSCHÜSSE DES NATIONALRATES"",""BUNDESVERFASSUNG"",""ERSTE LESUNGEN"",""GESCHÄFTSORDNUNG DES NATIONALRATES"",""GESCHÄFTSORDNUNG DES NATIONALRATES""]","[""Geschäftsordnung des Parlaments"",""Gesetzgebungsverfahren"",""parlamentarischer Ausschuss"",""Verfassung""]","[{'title': 'Initiativantrag (gescanntes Original)', 'link': '/dokument/XXI/A/647/fname_600523.pdf', 'type': 'PDF'}, {'title': 'Initiativantrag (gescanntes Original)', 'link': '/dokument/XXI/A/647/fnameorig_600523.html', 'type': 'HTML'}]"
A,648,21.03.2002,A(E),Reforminitiative für die KZ-Gedenkstätte Mauthausen,A(E),Selbständiger Entschließungsantrag,/gegenstand/XXI/A/648,ANTR,SELBST,"[""S""]","[""Inneres und Recht""]","[""OPFERFÜRSORGE UND OPFERSCHUTZ""]","[""Opferhilfe""]","[{'title': 'Entschließungsantrag (gescanntes Original)', 'link': '/dokument/XXI/A/648/fname_600522.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag (gescanntes Original)', 'link': '/dokument/XXI/A/648/fnameorig_600522.html', 'type': 'HTML'}]"
