Datum	F	G	S	V
2000-05-18	Frau|Gleichbehandlung	ethnische Gruppe|Gesetzgebungsverfahren|Opferhilfe	Familie|Beschäftigung und Arbeitsbedingungen|Frau|Gleichbehandlung|Frau|Gleichbehandlung|Steuerwesen|Beschäftigung und Arbeitsbedingungen|Frau|Gleichbehandlung|Beschäftigung und Arbeitsbedingungen|Frau|Gleichbehandlung|Sozialpolitik|Bürgerliches Recht|Frau|Gleichbehandlung|Steuerwesen|Familie|Familienleistungsausgleich	Frau|Gleichbehandlung
2000-05-23	Umwelt	Umwelt	Umwelt	Umwelt
2000-05-24	Fernsehen|Hörfunk			Fernsehen|Hörfunk
2000-05-25	Steuerwesen|Verkehr		Steuerwesen|Verkehr	Steuerwesen|Verkehr
2000-05-31	soziale Sicherheit			soziale Sicherheit
2000-06-06	Hochschulausbildung|Steuerwesen|Handel|Industrie|Unternehmen und Wettbewerb|Finanzwesen|Opferhilfe|direkt gewählte Kammer|Gesundheit	Frau|Gleichbehandlung|Versicherungswesen|Agrarerzeugnisse und Lebensmittel|Opferhilfe	Umwelt|Schienentransport|Arbeitsrecht|Wohnungspolitik|Opferhilfe|Wohnungspolitik|Forschung und geistiges Eigentum|Wissenschaften|Flüchtling|Informatik|Information und Informationsverarbeitung|Sekundarstufe|Statistik|Steuerwesen	Hochschulausbildung|Steuerwesen|Handel|Industrie|Unternehmen und Wettbewerb|Finanzwesen|Opferhilfe|direkt gewählte Kammer|Gesundheit
2000-06-07	Handel|Industrie|Unternehmen und Wettbewerb|Beschäftigung und Arbeitsbedingungen	Forschung und geistiges Eigentum|Land- und Forstwirtschaft, Fischerei|Wissenschaften|Land- und Forstwirtschaft, Fischerei|Schienentransport|Umwelt|Handel|Industrie|Unternehmen und Wettbewerb|soziale Sicherheit|Handel|Industrie|Unternehmen und Wettbewerb|Handel|Industrie|Unternehmen und Wettbewerb|Gesetzgebungsverfahren|Land- und Forstwirtschaft, Fischerei|Strafrecht|Elektrizitäts- und Kernkraftindustrie|Gliedstaat|Land- und Forstwirtschaft, Fischerei|Preis|Elektrizitäts- und Kernkraftindustrie|Land- und Forstwirtschaft, Fischerei|Land- und Forstwirtschaft, Fischerei	öffentliche Sicherheit|Gesetzgebungsverfahren|Handel|Industrie|Unternehmen und Wettbewerb|soziale Sicherheit|Land- und Forstwirtschaft, Fischerei|soziale Sicherheit|Preis|Land- und Forstwirtschaft, Fischerei	Handel|Industrie|Unternehmen und Wettbewerb|Beschäftigung und Arbeitsbedingungen
2000-06-28	Handel|Industrie|Umwelt|Unternehmen und Wettbewerb|Verwaltungsrecht			Handel|Industrie|Umwelt|Unternehmen und Wettbewerb|Verwaltungsrecht
2000-06-30	soziale Sicherheit			soziale Sicherheit
2000-07-05	Tiermedizin|Tierschutz|Bürgerliches Recht|Finanzwesen|See- und Binnenschiffsverkehr|Strafrecht|Europäische Union|partizipative Demokratie|Elektrizitäts- und Kernkraftindustrie|Elektrizitätsindustrie|soziale Sicherheit	Agrarerzeugnisse und Lebensmittel|Forschung und geistiges Eigentum|Post- und Fernmeldewesen|Wissenschaften|direkt gewählte Kammer|soziale Sicherheit|Finanzwesen|See- und Binnenschiffsverkehr|Elektrizitäts- und Kernkraftindustrie|Elektrizitäts- und Kernkraftindustrie|Elektrizitätsindustrie	Tiermedizin|Tierschutz|Agrarerzeugnisse und Lebensmittel|Finanzwesen|See- und Binnenschiffsverkehr|Flüchtling|Elektrizitäts- und Kernkraftindustrie|Elektrizitätsindustrie|öffentliche Verwaltung|öffentlicher Dienst	Tiermedizin|Tierschutz|Bürgerliches Recht|Finanzwesen|See- und Binnenschiffsverkehr|Strafrecht|Europäische Union|partizipative Demokratie|Elektrizitäts- und Kernkraftindustrie|Elektrizitätsindustrie|soziale Sicherheit
