ITYP,INR,Datum,Art,Betreff,DOKTYP,DOKTYP_LANG,HIS_URL,VHG,VHG2,Fraktionen,THEMEN,SW,EUROVOC,DocumentLinks
A,1835,23.02.2012,A(E),Sanierung des Bundesschulzentrums Deutschlandsberg,A(E),Selbständiger Entschließungsantrag,/gegenstand/XXIV/A/1835,ANTR,SELBST,"[""F""]","[""Wirtschaft""]","[""BAUWESEN""]","[""Bauindustrie und öffentliches Bauwesen"",""Baupolitik""]","[{'title': 'Entschließungsantrag  (gescanntes Original)', 'link': '/dokument/XXIV/A/1835/imfname_244062.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag  (elektr. übermittelte Version)', 'link': '/dokument/XXIV/A/1835/fname_244068.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag  (elektr. übermittelte Version)', 'link': '/dokument/XXIV/A/1835/fnameorig_244068.html', 'type': 'HTML'}]"
A,1864,08.03.2012,A,"Bundes-Verfassungsgesetz, Änderung",A,Selbständiger Antrag,/gegenstand/XXIV/A/1864,ANTR,SELBST,"[""S"",""V""]","[""Inneres und Recht"",""Parlament und Demokratie""]","[""BUNDESVERFASSUNG"",""BUNDESRAT III"",""NATIONALRAT V""]","[""direkt gewählte Kammer"",""Verfassung"",""Zweite Kammer""]","[{'title': 'Initiativantrag  (gescanntes Original)', 'link': '/dokument/XXIV/A/1864/imfname_245803.pdf', 'type': 'PDF'}, {'title': 'Initiativantrag  (elektr. übermittelte Version)', 'link': '/dokument/XXIV/A/1864/fname_245856.pdf', 'type': 'PDF'}, {'title': 'Initiativantrag  (elektr. übermittelte Version)', 'link': '/dokument/XXIV/A/1864/fnameorig_245856.html', 'type': 'HTML'}]"
A,1874,08.03.2012,A(E),Aufstockung der Exekutive in Linz,A(E),Selbständiger Entschließungsantrag,/gegenstand/XXIV/A/1874,ANTR,SELBST,"[""F""]","[""Inneres und Recht""]","[""SICHERHEITSWESEN""]","[""öffentliche Sicherheit""]","[{'title': 'Entschließungsantrag  (gescanntes Original)', 'link': '/dokument/XXIV/A/1874/imfname_245830.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag  (elektr. übermittelte Version)', 'link': '/dokument/XXIV/A/1874/fname_245848.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag  (elektr. übermittelte Version)', 'link': '/dokument/XXIV/A/1874/fnameorig_245848.html', 'type': 'HTML'}]"
A,1879,08.03.2012,A,"Bundesluftreinhaltegesetz, Änderung",A,Selbständiger Antrag,/gegenstand/XXIV/A/1879,ANTR,SELBST,"[""F""]","[""Klima, Umwelt und Energie""]","[""UMWELTSCHUTZ""]","[""Umwelt""]","[{'title': 'Initiativantrag  (gescanntes Original)', 'link': '/dokument/XXIV/A/1879/imfname_245836.pdf', 'type': 'PDF'}, {'title': 'Initiativantrag  (elektr. übermittelte Version)', 'link': '/dokument/XXIV/A/1879/fname_245843.pdf', 'type': 'PDF'}, {'title': 'Initiativantrag  (elektr. übermittelte Version)', 'link': '/dokument/XXIV/A/1879/fnameorig_245843.html', 'type': 'HTML'}]"
A,1916,19.04.2012,A(E),Betriebshilfe zur Unterstützung schwangerer oder stillender Frauen,A(E),Selbständiger Entschließungsantrag,/gegenstand/XXIV/A/1916,ANTR,SELBST,"[""G""]","[""Frauen und Gleichbehandlung"",""Soziales""]","[""SOZIALVERSICHERUNG VI"",""FRAUEN UND GLEICHBEHANDLUNG""]","[""Frau"",""Gleichbehandlung"",""soziale Sicherheit""]","[{'title': 'Entschließungsantrag  (gescanntes Original)', 'link': '/dokument/XXIV/A/1916/imfname_250432.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag  (textinterpretierte Version)', 'link': '/dokument/XXIV/A/1916/fname_250498.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag  (textinterpretierte Version)', 'link': '/dokument/XXIV/A/1916/fnameorig_250498.html', 'type': 'HTML'}]"
A,1923,19.04.2012,A,"IPR-Gesetz, Änderung",A,Selbständiger Antrag,/gegenstand/XXIV/A/1923,ANTR,SELBST,"[""F""]","[""Inneres und Recht""]","[""ZIVILRECHT""]","[""Bürgerliches Recht""]","[{'title': 'Initiativantrag  (gescanntes Original)', 'link': '/dokument/XXIV/A/1923/imfname_250599.pdf', 'type': 'PDF'}, {'title': 'Initiativantrag  (elektr. übermittelte Version)', 'link': '/dokument/XXIV/A/1923/fname_250602.pdf', 'type': 'PDF'}, {'title': 'Initiativantrag  (elektr. übermittelte Version)', 'link': '/dokument/XXIV/A/1923/fnameorig_250602.html', 'type': 'HTML'}]"
A,1928,15.05.2012,A(E),keine Patentierung von landwirtschaftlichen Nutztieren und Pflanzen,A(E),Selbständiger Entschließungsantrag,/gegenstand/XXIV/A/1928,ANTR,SELBST,"[""G""]","[""Land- und Forstwirtschaft""]","[""LAND- UND FORSTWIRTSCHAFT""]","[""Land- und Forstwirtschaft, Fischerei""]","[{'title': 'Entschließungsantrag  (gescanntes Original)', 'link': '/dokument/XXIV/A/1928/imfname_252783.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag  (elektr. übermittelte Version)', 'link': '/dokument/XXIV/A/1928/fname_252799.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag  (elektr. übermittelte Version)', 'link': '/dokument/XXIV/A/1928/fnameorig_252799.html', 'type': 'HTML'}]"
A,1937,15.05.2012,A(E),Umweltförderung für photokatalytische Luftreinigung,A(E),Selbständiger Entschließungsantrag,/gegenstand/XXIV/A/1937,ANTR,SELBST,"[""F""]","[""Klima, Umwelt und Energie""]","[""UMWELTSCHUTZ""]","[""Umwelt""]","[{'title': 'Entschließungsantrag  (gescanntes Original)', 'link': '/dokument/XXIV/A/1937/imfname_252960.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag  (elektr. übermittelte Version)', 'link': '/dokument/XXIV/A/1937/fname_253024.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag  (elektr. übermittelte Version)', 'link': '/dokument/XXIV/A/1937/fnameorig_253024.html', 'type': 'HTML'}]"
A,1945,16.05.2012,A,"Paßgesetz, Änderung",A,Selbständiger Antrag,/gegenstand/XXIV/A/1945,ANTR,SELBST,"[""B""]","[""Inneres und Recht""]","[""PÄSSE UND AUSWEISE""]","[""Ausweis""]","[{'title': 'Initiativantrag  (gescanntes Original)', 'link': '/dokument/XXIV/A/1945/imfname_253229.pdf', 'type': 'PDF'}, {'title': 'Initiativantrag  (elektr. übermittelte Version)', 'link': '/dokument/XXIV/A/1945/fname_253269.pdf', 'type': 'PDF'}, {'title': 'Initiativantrag  (elektr. übermittelte Version)', 'link': '/dokument/XXIV/A/1945/fnameorig_253269.html', 'type': 'HTML'}]"
A,1950,16.05.2012,A,Korruptionsstrafrechtsänderungsgesetz 2012,A,Selbständiger Antrag,/gegenstand/XXIV/A/1950,ANTR,SELBST,"[""S"",""V"",""G"",""B""]","[""Inneres und Recht""]","[""STRAFRECHT""]","[""Strafrecht""]","[{'title': 'Initiativantrag  (gescanntes Original)', 'link': '/dokument/XXIV/A/1950/imfname_253291.pdf', 'type': 'PDF'}, {'title': 'Initiativantrag  (textinterpretierte Version)', 'link': '/dokument/XXIV/A/1950/fname_253363.pdf', 'type': 'PDF'}, {'title': 'Initiativantrag  (textinterpretierte Version)', 'link': '/dokument/XXIV/A/1950/fnameorig_253363.html', 'type': 'HTML'}]"
A,1952,16.05.2012,A(E),"""Universal Periodic Review""-Prozess der Vereinten Nationen",A(E),Selbständiger Entschließungsantrag,/gegenstand/XXIV/A/1952,ANTR,SELBST,"[""V"",""S""]","[""Außenpolitik"",""Inneres und Recht""]","[""MENSCHENRECHTE"",""VEREINTE NATIONEN""]","[""Menschenrechte"",""Vereinte Nationen""]","[{'title': 'Entschließungsantrag  (gescanntes Original)', 'link': '/dokument/XXIV/A/1952/imfname_253318.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag  (elektr. übermittelte Version)', 'link': '/dokument/XXIV/A/1952/fname_253761.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag  (elektr. übermittelte Version)', 'link': '/dokument/XXIV/A/1952/fnameorig_253761.html', 'type': 'HTML'}]"
A,1960,16.05.2012,A(E),Schließung einer verheerenden Lücke im Staatsbürgerschaftsgesetz,A(E),Selbständiger Entschließungsantrag,/gegenstand/XXIV/A/1960,ANTR,SELBST,"[""G""]","[""Inneres und Recht""]","[""STAATSBÜRGER:IN""]","[""Staatsangehöriger""]","[{'title': 'Entschließungsantrag  (gescanntes Original)', 'link': '/dokument/XXIV/A/1960/imfname_253390.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag  (elektr. übermittelte Version)', 'link': '/dokument/XXIV/A/1960/fname_253462.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag  (elektr. übermittelte Version)', 'link': '/dokument/XXIV/A/1960/fnameorig_253462.html', 'type': 'HTML'}]"
A,1962,16.05.2012,A(E),Einführung einer Neuregelung der sog. Altpolitiker-Pensionen,A(E),Selbständiger Entschließungsantrag,/gegenstand/XXIV/A/1962,ANTR,SELBST,"[""F""]","[""Parlament und Demokratie""]","[""NATIONALRAT V""]","[""direkt gewählte Kammer""]","[{'title': 'Entschließungsantrag  (gescanntes Original)', 'link': '/dokument/XXIV/A/1962/imfname_253388.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag  (elektr. übermittelte Version)', 'link': '/dokument/XXIV/A/1962/fname_253449.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag  (elektr. übermittelte Version)', 'link': '/dokument/XXIV/A/1962/fnameorig_253449.html', 'type': 'HTML'}]"
A,1965,13.06.2012,A,"Kunstförderungsbeitragsgesetz, Änderung",A,Selbständiger Antrag,/gegenstand/XXIV/A/1965,ANTR,SELBST,"[""S"",""V""]","[""Soziales""]","[""SOZIALVERSICHERUNG VI""]","[""soziale Sicherheit""]","[{'title': 'Initiativantrag  (gescanntes Original)', 'link': '/dokument/XXIV/A/1965/imfname_255509.pdf', 'type': 'PDF'}, {'title': 'Initiativantrag  (elektr. übermittelte Version)', 'link': '/dokument/XXIV/A/1965/fname_255563.pdf', 'type': 'PDF'}, {'title': 'Initiativantrag  (elektr. übermittelte Version)', 'link': '/dokument/XXIV/A/1965/fnameorig_255563.html', 'type': 'HTML'}]"
A,1973,13.06.2012,A(E),"Ergreifen von Maßnahmen, um der Landflucht junger Frauen entgegenzuwirken",A(E),Selbständiger Entschließungsantrag,/gegenstand/XXIV/A/1973,ANTR,SELBST,"[""F""]","[""Frauen und Gleichbehandlung"",""Klima, Umwelt und Energie"",""Verkehr und Infrastruktur""]","[""RAUMORDNUNG"",""FRAUEN UND GLEICHBEHANDLUNG""]","[""Frau"",""Gleichbehandlung"",""Raumordnung""]","[{'title': 'Entschließungsantrag  (gescanntes Original)', 'link': '/dokument/XXIV/A/1973/imfname_255550.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag  (elektr. übermittelte Version)', 'link': '/dokument/XXIV/A/1973/fname_255561.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag  (elektr. übermittelte Version)', 'link': '/dokument/XXIV/A/1973/fnameorig_255561.html', 'type': 'HTML'}]"
