Datum	A	B	F	G	S	T	V
2009-09-23		soziale Sicherheit|Finanzausgleich|Gliedstaat|öffentliche Sicherheit|Gesundheit|soziale Sicherheit|öffentliche Sicherheit|Post- und Fernmeldewesen|Wohnungspolitik|Strafrecht|Schienentransport|Exekutive|Misstrauensantrag|Bauindustrie und öffentliches Bauwesen|Baupolitik|Elektrizitätsindustrie|Energie|Preis	Straßenverkehr|Behinderter|Steuerwesen|Bodenreform|Land- und Forstwirtschaft, Fischerei|Umwelt|Gliedstaat|Schienentransport|Finanzwesen|Straßen- und Brückenbau|Bodenreform|Land- und Forstwirtschaft, Fischerei|Umwelt|Behinderter|Steuerwesen|Beschäftigung und Arbeitsbedingungen|Frau|Gleichbehandlung|Sozialpolitik|soziale Sicherheit|Straßenverkehr|Gesundheit|Handel|Industrie|Unternehmen und Wettbewerb|Energie|Behinderter|Steuerwesen|Elektrizitätsindustrie|Umwelt|Behinderter|Bauindustrie und öffentliches Bauwesen|Baupolitik|Energie|Einkommen|Finanzwesen|Verwaltung und Entlohnung des Personals|soziale Sicherheit	Beschäftigung und Arbeitsbedingungen|Frau|Gleichbehandlung|Personenstand|Behinderter|Familie|Föderalismus|Gliedstaat|Frau|Gesetzgebungsverfahren|Gleichbehandlung|Strafrecht|Vereinsleben|Versammlungsfreiheit|Schienentransport|Straßenverkehr|Verkehr|Behinderter|Gesundheit|Staatsangehöriger|Land- und Forstwirtschaft, Fischerei|Behinderter|Hochschulausbildung|öffentliche Verwaltung|öffentlicher Dienst|Finanzwesen|Behinderter|Agrarerzeugnisse und Lebensmittel|Land- und Forstwirtschaft, Fischerei|Bauindustrie und öffentliches Bauwesen|Baupolitik|Beschäftigung und Arbeitsbedingungen|Elektrizitätsindustrie|Energie|Umwelt|Gesundheit|Handel|Industrie|Unternehmen und Wettbewerb	Internationale Beziehungen|Menschenrechte|Religion|Menschenrechte|Vereinte Nationen|Völkerrecht|Menschenrechte|Elektrizitätsindustrie|Umwelt|Elektrizitätsindustrie|Preis|Gesundheit|Handel|Industrie|Unternehmen und Wettbewerb|Elektrizitätsindustrie|Preis		Internationale Beziehungen|Menschenrechte|Religion|Menschenrechte|Vereinte Nationen|Völkerrecht|Menschenrechte|Elektrizitätsindustrie|Umwelt|Elektrizitätsindustrie|Preis|Gesundheit|Handel|Industrie|Unternehmen und Wettbewerb|Elektrizitätsindustrie|Preis
2009-10-06					Sekundarstufe		Sekundarstufe
2009-10-14			Arbeitsrecht|öffentliche Verwaltung|öffentlicher Dienst|Sozialpolitik|Zivilschutz	Arbeitsrecht|öffentliche Verwaltung|öffentlicher Dienst|Sozialpolitik|Zivilschutz	Arbeitsrecht|öffentliche Verwaltung|öffentlicher Dienst|Sozialpolitik|Zivilschutz		Arbeitsrecht|öffentliche Verwaltung|öffentlicher Dienst|Sozialpolitik|Zivilschutz
2009-10-15		internationales Arbeitsrecht|Menschenrechte|Strafrecht|Geschäftsordnung des Parlaments|Haushaltskontrolle|Schienentransport|Beschäftigung und Arbeitsbedingungen|Einkommen|Sozialpolitik|Verwaltung und Entlohnung des Personals	Behinderter|Beschäftigung und Arbeitsbedingungen|öffentliche Verwaltung|öffentlicher Dienst|Umwelt|Wasser|Wasserbewirtschaftung|Gesundheit|Handel|Industrie|Unternehmen und Wettbewerb|Elektrizitätsindustrie|Elektrizitäts- und Kernkraftindustrie|Umwelt|Gesundheit|Steuerwesen|Tabak|Gesundheit|Post- und Fernmeldewesen|Steuerwesen|soziale Sicherheit|soziale Sicherheit|Beschäftigung und Arbeitsbedingungen|junger Mensch|soziale Sicherheit	Arbeitslosenversicherung|Tiermedizin|Tierschutz|Tiermedizin|Tierschutz|Einkommen|Verwaltung und Entlohnung des Personals|Sozialpolitik|soziale Sicherheit|Elektrizitäts- und Kernkraftindustrie|Umwelt|Tiermedizin|Tierschutz|Europäische Union|Land- und Forstwirtschaft, Fischerei			
2009-10-21		Luftverkehr|Verteidigung|Gesundheit|Exekutive|Grenze|öffentliche Sicherheit|Verwaltungsorganisation|Ausweis|Flüchtling|Informatik|Information und Informationsverarbeitung|öffentliche Sicherheit|öffentliche Sicherheit|Grenze|öffentliche Sicherheit|Flüchtling|Strafrecht	Bildung|Gliedstaat|Organisation des Unterrichtswesens|Verwaltungsreform	öffentliche Verwaltung|öffentlicher Dienst|Arbeitsrecht|Gesundheit|Verwaltungskontrolle			
2009-10-22		Agrarerzeugnisse und Lebensmittel|Familienleistungsausgleich|Parlamentsdebatte|Sozialpolitik|Elektrizitäts- und Kernkraftindustrie|Umwelt|Familie|Verwaltungsrecht|Familie|Familienleistungsausgleich|Steuerwesen|Bildung|Organisation des Unterrichtswesens|Steuerwesen|Tourismus|Sozialpolitik	öffentliche Verwaltung|öffentlicher Dienst|Bildung|Gliedstaat|Organisation des Unterrichtswesens|Verwaltungsreform|Handel|Industrie|Unternehmen und Wettbewerb|öffentliche Sicherheit|öffentliche Verwaltung|öffentlicher Dienst|Bürgerliches Recht|Finanzwesen|Familie|Familienleistungsausgleich|Sozialpolitik|Agrarerzeugnisse und Lebensmittel|Arbeitslosenversicherung|Familie|Elektrizitäts- und Kernkraftindustrie|Umwelt|Handel|Industrie|Tiermedizin|Tierschutz|Unternehmen und Wettbewerb|Beschäftigung und Arbeitsbedingungen|soziale Sicherheit|Beschäftigung und Arbeitsbedingungen|junger Mensch|ausländischer Staatsangehöriger|Beschäftigung und Arbeitsbedingungen|namentliche Abstimmung|Verwaltungsorganisation|soziale Sicherheit|soziale Sicherheit|soziale Sicherheit	Agrarerzeugnisse und Lebensmittel|Elektrizitäts- und Kernkraftindustrie|Umwelt|Geschäftsordnung des Parlaments|Gesetzgebungsverfahren|Familie|soziale Sicherheit|Familie|Familie|Schienentransport|Verkehr	Agrarerzeugnisse und Lebensmittel|Elektrizitäts- und Kernkraftindustrie|Umwelt|Bergbau		Agrarerzeugnisse und Lebensmittel|Elektrizitäts- und Kernkraftindustrie|Umwelt|Bergbau
2009-11-04		Sport	Sport	Sport	Sport		Sport
2009-11-05		Fernsehen|Hörfunk|Wahl|Land- und Forstwirtschaft, Fischerei|Tiermedizin|Tierschutz|Steuerwesen|Tourismus|Gliedstaat|Öffentliche Finanzen und Haushaltspolitik|direkt gewählte Kammer	Hochschulausbildung|Steuerwesen|Tourismus|Steuerwesen|Energie|Land- und Forstwirtschaft, Fischerei|Umwelt	Hochschulausbildung|junger Mensch|Sozialpolitik|Bauindustrie und öffentliches Bauwesen|Baupolitik|Hochschulausbildung|Öffentliche Finanzen und Haushaltspolitik|soziale Sicherheit|Steuerwesen|Schienentransport	Strafrecht		Strafrecht
2009-11-12		Hochschulausbildung|Bildung|Gesetzgebungsverfahren|Organisation des Unterrichtswesens|Verfassung|Hochschulausbildung	Bauindustrie und öffentliches Bauwesen|Baupolitik|Hochschulausbildung|Luftverkehr|Bauindustrie und öffentliches Bauwesen|Baupolitik|Hochschulausbildung	Behinderter|Hochschulausbildung|Hochschulausbildung|Parlamentsdebatte|Behinderter|Hochschulausbildung|Hochschulausbildung|Exekutive|Forschung und geistiges Eigentum|Hochschulausbildung|Misstrauensantrag|Öffentliche Finanzen und Haushaltspolitik|Wissenschaften	Hochschulausbildung|Öffentliche Finanzen und Haushaltspolitik		Hochschulausbildung|Öffentliche Finanzen und Haushaltspolitik
2009-11-18		Tiermedizin|Tierschutz|Verfassung|öffentliche Sicherheit|Politische Partei|Wahl|Tiermedizin|Tierschutz|Beschäftigung und Arbeitsbedingungen|Gesundheit|Sekundarstufe|Post- und Fernmeldewesen|Tiermedizin|Tierschutz|Steuerwesen|Beschäftigung und Arbeitsbedingungen	Elektrizitäts- und Kernkraftindustrie|Abfall|Abfallwirtschaft|Steuerwesen|Europäische Union|Post- und Fernmeldewesen|ethnische Gruppe	Tiermedizin|Tierschutz	Wahl|Bürgerliches Recht|Handel|Industrie|Kulturpolitik|Kunst|Unternehmen und Wettbewerb|Arbeitsrecht|Menschenrechte|namentliche Abstimmung|Verfassung|Exekutive|Öffentliche Finanzen und Haushaltspolitik|Agrarerzeugnisse und Lebensmittel|Gesundheit|Bürgerliches Recht		Wahl|Bürgerliches Recht|Handel|Industrie|Kulturpolitik|Kunst|Unternehmen und Wettbewerb|Arbeitsrecht|Menschenrechte|namentliche Abstimmung|Verfassung|Exekutive|Öffentliche Finanzen und Haushaltspolitik|Agrarerzeugnisse und Lebensmittel|Gesundheit|Bürgerliches Recht
2009-11-19		Bildung|Kulturpolitik|Kunst|Organisation des Unterrichtswesens|Religion|Beschäftigung und Arbeitsbedingungen|Gesundheit|Steuerwesen|Finanzwesen|Elektrizitätsindustrie|Preis|Verfassung|Haushaltskontrolle|Schienentransport|Bildung|Organisation des Unterrichtswesens|Sport|Bibliothek|Europäische Union|Tiermedizin|Tierschutz|Schienentransport|Behinderter|Versicherungswesen|Finanzwesen|soziale Sicherheit	Bildung|Organisation des Unterrichtswesens|Sport|Europäische Union|Tiermedizin|Tierschutz|Beschäftigung und Arbeitsbedingungen|öffentliche Sicherheit|öffentliche Verwaltung|öffentlicher Dienst|soziale Sicherheit|Behinderter|Flüchtling|Gesundheit|Fernsehen|Hörfunk|Kulturpolitik|Kunst|Gesundheit|Handel|Industrie|Post- und Fernmeldewesen|Umwelt|Unternehmen und Wettbewerb|Exekutive|Beschäftigung und Arbeitsbedingungen|öffentliche Sicherheit|öffentliche Verwaltung|öffentlicher Dienst|Internationale Beziehungen|Menschenrechte|Bildung|Europäische Union|Organisation des Unterrichtswesens|Religion	junger Mensch|Strafrecht|Vereinte Nationen|Gesundheit|Menschenrechte|Strafrecht|Vereinte Nationen|Europäische Union|Tiermedizin|Tierschutz|Menschenrechte|Strafrecht|Vereinte Nationen|Hochschulausbildung|Menschenrechte|Vereinte Nationen|Arbeitsrecht|Beschäftigung und Arbeitsbedingungen|Gesundheit	Sport|Tourismus|Versicherungswesen|Bildung|Organisation des Unterrichtswesens|Sport|Europäische Union|Tiermedizin|Tierschutz|Bildung|Europäische Union|Organisation des Unterrichtswesens|Religion		Sport|Tourismus|Versicherungswesen|Bildung|Organisation des Unterrichtswesens|Sport|Europäische Union|Tiermedizin|Tierschutz|Bildung|Europäische Union|Organisation des Unterrichtswesens|Religion
2009-12-01					Schienentransport		Schienentransport
2009-12-02		Behinderter	Behinderter	Behinderter	Behinderter		Behinderter
2009-12-03			Straßenverkehr|Umwelt|soziale Sicherheit|Währungsbeziehungen|Wirtschaft|Währungsbeziehungen|Wirtschaft	internationales Abkommen|Verfassung			
2009-12-10		Gesundheit|Hochschulausbildung|Schienentransport|Tourismus|Tiermedizin|Tierschutz|Gesundheit|Informatik|Information und Informationsverarbeitung|öffentliche Sicherheit|soziale Sicherheit|Tiermedizin|Tierschutz	Schienentransport|Tourismus|Schienentransport|Bürgerliches Recht|öffentliche Verwaltung|öffentlicher Dienst|Personenstand|Bürgerliches Recht|Familie|soziale Sicherheit|soziale Sicherheit	Schienentransport|Tourismus|Gesundheit|junger Mensch|Verfassung|Bürgerliches Recht|soziale Sicherheit|Sozialpolitik	Schienentransport|Tourismus|Straßen- und Brückenbau|öffentliche Verwaltung|öffentlicher Dienst		Schienentransport|Tourismus|Straßen- und Brückenbau|öffentliche Verwaltung|öffentlicher Dienst
2009-12-11		öffentliche Sicherheit|öffentliche Verwaltung|öffentlicher Dienst|Beschäftigung und Arbeitsbedingungen|Gesundheit|soziale Sicherheit|Beschäftigung und Arbeitsbedingungen|Gesundheit|soziale Sicherheit|Gliedstaat|Öffentliche Finanzen und Haushaltspolitik|Gesundheit|Elektrizitäts- und Kernkraftindustrie	direkt gewählte Kammer|öffentliche Sicherheit|Parlamentarier|parlamentarische Immunität|soziale Sicherheit|Behinderter|Versicherungswesen|Europäische Union|Versicherungswesen|Umwelt|Wasserbau|Forschung und geistiges Eigentum|Wirtschaft|Wissenschaften|Internationale Beziehungen|Land- und Forstwirtschaft, Fischerei|junger Mensch|Post- und Fernmeldewesen|Preis|Gesundheit|Finanzwesen|Elektrizitätsindustrie|direkt gewählte Kammer|öffentliche Sicherheit|öffentliche Verwaltung|öffentlicher Dienst|parlamentarische Immunität|parlamentarischer Ausschuss|Strafrecht|Umwelt	Straßen- und Brückenbau|Bürgerliches Recht|Gesundheit|Parlamentsdebatte|Steuerwesen|Umwelt|Gesetzgebungsverfahren|Hochschulausbildung|Öffentliche Finanzen und Haushaltspolitik|Gesundheit|soziale Sicherheit|Staatschef|Verfassung|Wahl|Arbeitslosenversicherung|Arbeitsrecht|soziale Sicherheit|Behinderter|Gesundheit|Bildung|Organisation des Unterrichtswesens|Sekundarstufe|Agrarerzeugnisse und Lebensmittel|Land- und Forstwirtschaft, Fischerei|Verfassung|direkt gewählte Kammer|parlamentarische Immunität|parlamentarischer Ausschuss|Strafrecht|Gesundheit|Exekutive|Misstrauensantrag|Umwelt	Gesundheit|Handel|Industrie|Umwelt|Unternehmen und Wettbewerb|junger Mensch|Verfassung|Gesundheit|Handel|Industrie|Umwelt|Unternehmen und Wettbewerb|Gesundheit|direkt gewählte Kammer|parlamentarische Immunität|parlamentarischer Ausschuss|Strafrecht		Gesundheit|Handel|Industrie|Umwelt|Unternehmen und Wettbewerb|junger Mensch|Verfassung|Gesundheit|Handel|Industrie|Umwelt|Unternehmen und Wettbewerb|Gesundheit|direkt gewählte Kammer|parlamentarische Immunität|parlamentarischer Ausschuss|Strafrecht
2010-01-13		internationales Arbeitsrecht|junger Mensch|Menschenrechte|Strafrecht			internationales Arbeitsrecht|junger Mensch|Menschenrechte|Strafrecht		internationales Arbeitsrecht|junger Mensch|Menschenrechte|Strafrecht
2010-01-21		Gliedstaat|Kulturpolitik|Kunst			Gliedstaat|Kulturpolitik|Kunst		Gliedstaat|Kulturpolitik|Kunst
2010-01-29	Flüchtling|Flüchtling|Flüchtling|Flüchtling|Flüchtling|Flüchtling	Gesundheit|soziale Sicherheit|Umwelt|Gesundheit|junger Mensch|soziale Sicherheit|Gesundheit|junger Mensch|soziale Sicherheit|Gliedstaat|öffentliche Sicherheit|Politische Partei|Einkommen|Finanzwesen|Steuerwesen|Verwaltung und Entlohnung des Personals|Gesundheit|soziale Sicherheit|Gesundheit|soziale Sicherheit|Forschung und geistiges Eigentum|Handel|Industrie|Unternehmen und Wettbewerb|Wissenschaften|Flüchtling|Elektrizitäts- und Kernkraftindustrie|Flüchtling|Informatik|Information und Informationsverarbeitung|Hochschulausbildung|junger Mensch	Exekutive|Steuerwesen|Finanzwesen|Steuerwesen|Gesundheit|Bildung|Organisation des Unterrichtswesens|Sekundarstufe|Elektrizitätsindustrie|Preis|Behinderter|Bildung|Informatik|Information und Informationsverarbeitung|Organisation des Unterrichtswesens|Gesundheit|Gesetzgebungsverfahren|Gesundheit|Strafrecht|Agrarerzeugnisse und Lebensmittel|junger Mensch|Post- und Fernmeldewesen|Preis|Agrarerzeugnisse und Lebensmittel|Luftverkehr|Fernsehen|Hörfunk|Wahl|Arbeitsrecht|Fernsehen|Hörfunk|Gesundheit|Wasser|Wasserbewirtschaftung|Finanzwesen|Haushaltskontrolle|Gesetzgebungsverfahren|öffentliche Verwaltung|öffentlicher Dienst|junger Mensch|Museum|Preis|Gesundheit|Informatik|Information und Informationsverarbeitung|Flüchtling|Exekutive|Flüchtling|Misstrauensantrag|namentliche Abstimmung	Finanzwesen|Gesetzgebungsverfahren|Handel|Industrie|Unternehmen und Wettbewerb|Zivildienst|Frau|Gleichbehandlung|Sozialpolitik|Umwelt|Tiermedizin|Tierschutz|Land- und Forstwirtschaft, Fischerei|Steuerwesen|Politische Partei|Finanzwesen|Exekutive|Flüchtling|Misstrauensantrag|Informatik|Information und Informationsverarbeitung	Informatik|Information und Informationsverarbeitung		Informatik|Information und Informationsverarbeitung
2010-02-17				Gerichtswesen|Gesundheit	Gerichtswesen|Gesundheit		Gerichtswesen|Gesundheit
2010-02-24		Elektrizitäts- und Kernkraftindustrie|Internationale Beziehungen|Tiermedizin|Tierschutz|Agrarerzeugnisse und Lebensmittel|Exekutive|Gesundheit|Strafrecht|Verfassung|Bibliothek|Tiermedizin|Tierschutz|Strafrecht|Verteidigung|Umwelt|Energie|Forschung und geistiges Eigentum|Hochschulausbildung|Wissenschaften|Flüchtling|Informatik|Information und Informationsverarbeitung|Steuerwesen|Exekutive|Gesundheit|Misstrauensantrag|Finanzausgleich|Gliedstaat|Bürgerliches Recht|Politische Partei|Steuerwesen|Finanzausgleich|Gliedstaat	Elektrizitäts- und Kernkraftindustrie|Internationale Beziehungen|Verteidigung|Europäische Union|Währungsbeziehungen|Arbeitsrecht|Gesundheit|ausländischer Staatsangehöriger|Familie|Familienleistungsausgleich|Arbeitsrecht|Familie|Luftverkehr|Tourismus|Staatsangehöriger|Tourismus|Exekutive|Misstrauensantrag|Exekutive|Haushaltskontrolle|Frau|Gleichbehandlung|Familie|Gesetzgebungsverfahren|soziale Sicherheit|Gesetzgebungsverfahren|Steuerwesen|Staatschef|Wahl|Exekutive|Sport|Verteidigung|Verwaltungsorganisation|Tabak|Luftverkehr|Umwelt|Gesundheit|Luftverkehr|Verfassung|Wahl|Finanzwesen|Steuerwesen|Exekutive|Haushaltskontrolle|Finanzwesen|Steuerwesen	Elektrizitäts- und Kernkraftindustrie|Internationale Beziehungen|Staatsangehöriger|Schienentransport|Exekutive|Gesetzgebungsverfahren|Verfassung|Gliedstaat|Straßen- und Brückenbau|Bildung|Organisation des Unterrichtswesens|Sekundarstufe|Sozialpolitik|Steuerwesen|Gesetzgebungsverfahren|Zivildienst|Luftverkehr|Umwelt|Frau|Gleichbehandlung|Bildung|Organisation des Unterrichtswesens|Kulturpolitik|Kunst|Beschäftigung und Arbeitsbedingungen|Steuerwesen|Wirtschaft	Elektrizitäts- und Kernkraftindustrie|Internationale Beziehungen|Europäische Union|Verfassung|Agrarerzeugnisse und Lebensmittel|Gesundheit		Elektrizitäts- und Kernkraftindustrie|Internationale Beziehungen|Europäische Union|Verfassung|Agrarerzeugnisse und Lebensmittel|Gesundheit
2010-03-24	Strafrecht|Strafrecht|Strafrecht	Bildung|Gesetzgebungsverfahren|Organisation des Unterrichtswesens|Religion|Apotheke|Wahl|Agrarerzeugnisse und Lebensmittel|Agrarerzeugnisse und Lebensmittel|Forschung und geistiges Eigentum|Wissenschaften|Handel|Industrie|Unternehmen und Wettbewerb|Bildung|Organisation des Unterrichtswesens|junger Mensch|Museum|Preis|Europäische Union|Währungsbeziehungen	Fernsehen|Hörfunk|Parlamentsdebatte|Politische Partei|Behinderter|Bildung|Gesundheit|Organisation des Unterrichtswesens|See- und Binnenschiffsverkehr|Tourismus|Opferhilfe|Schienentransport|Gesundheit|soziale Sicherheit|Finanzwesen|Elektrizitäts- und Kernkraftindustrie|Frau|Gleichbehandlung|Öffentliche Finanzen und Haushaltspolitik|Vereinsleben|Versammlungsfreiheit|Abfall|Abfallwirtschaft|Kulturpolitik|Kunst|Steuerwesen|Gesetzgebungsverfahren|Verteidigung|Agrarerzeugnisse und Lebensmittel|Gesundheit|Opferhilfe|Gesetzgebungsverfahren|Handel|Industrie|Unternehmen und Wettbewerb|Wahl|Öffentliche Finanzen und Haushaltspolitik|Strafrecht|See- und Binnenschiffsverkehr|Tourismus|Museum|Europäische Union|Währungsbeziehungen|Elektrizitäts- und Kernkraftindustrie|Europäische Union|Verkehr	Strafrecht|Handel|Industrie|Unternehmen und Wettbewerb|Flüchtling|Handel|Industrie|Unternehmen und Wettbewerb|Informatik|Information und Informationsverarbeitung|Post- und Fernmeldewesen|Preis|Elektrizitätsindustrie|Menschenrechte|Wirtschaft|Agrarerzeugnisse und Lebensmittel|Land- und Forstwirtschaft, Fischerei|Elektrizitäts- und Kernkraftindustrie|Finanzwesen|Handel|Industrie|Informatik|Information und Informationsverarbeitung|Unternehmen und Wettbewerb|Post- und Fernmeldewesen|öffentliche Verwaltung|öffentlicher Dienst|Bildung|Organisation des Unterrichtswesens|Sekundarstufe|Arbeitsrecht|Bildung|Organisation des Unterrichtswesens|Statistik|Wirtschaft|Gesundheit|Luftverkehr|Umwelt|junger Mensch|Museum|Preis	junger Mensch|Museum|Preis		junger Mensch|Museum|Preis
2010-03-25	Land- und Forstwirtschaft, Fischerei|Preis|Land- und Forstwirtschaft, Fischerei|Preis|Agrarerzeugnisse und Lebensmittel|Land- und Forstwirtschaft, Fischerei|Agrarerzeugnisse und Lebensmittel|Tiermedizin|Tierschutz|Agrarerzeugnisse und Lebensmittel|Tiermedizin|Tierschutz|Agrarerzeugnisse und Lebensmittel|Tiermedizin|Tierschutz	Land- und Forstwirtschaft, Fischerei|Steuerwesen|Archiv|öffentliche Sicherheit|Staatsangehöriger|Steuerwesen|ausländischer Staatsangehöriger|ethnische Gruppe|Internationale Beziehungen|Strafrecht|Handel|Industrie|Tabak|Unternehmen und Wettbewerb|Informatik|Information und Informationsverarbeitung|junger Mensch|Strafrecht|Land- und Forstwirtschaft, Fischerei|Steuerwesen|Agrarerzeugnisse und Lebensmittel|Land- und Forstwirtschaft, Fischerei|Frau|Gleichbehandlung|Land- und Forstwirtschaft, Fischerei|Finanzwesen|Handel|Industrie|Unternehmen und Wettbewerb|Strafrecht|Handel|Industrie|Tabak|Unternehmen und Wettbewerb|Land- und Forstwirtschaft, Fischerei|Steuerwesen|ausländischer Staatsangehöriger|Familie|soziale Sicherheit|Sozialpolitik	Gesundheit|Steuerwesen|Tourismus|Steuerwesen|Behinderter|Gesundheit|Agrarerzeugnisse und Lebensmittel|Land- und Forstwirtschaft, Fischerei|Agrarerzeugnisse und Lebensmittel|Tiermedizin|Tierschutz	Verteidigung|Parlamentsdebatte|Tabak|Gesundheit|junger Mensch|Tabak|Frau|Gleichbehandlung|Land- und Forstwirtschaft, Fischerei|Grenze|Verteidigung|Agrarerzeugnisse und Lebensmittel|Land- und Forstwirtschaft, Fischerei	Frau|Gleichbehandlung|Land- und Forstwirtschaft, Fischerei|Agrarerzeugnisse und Lebensmittel|Land- und Forstwirtschaft, Fischerei		Frau|Gleichbehandlung|Land- und Forstwirtschaft, Fischerei|Agrarerzeugnisse und Lebensmittel|Land- und Forstwirtschaft, Fischerei
2010-04-13					Bürgerliches Recht		Bürgerliches Recht
2010-04-21		Informatik|Information und Informationsverarbeitung|öffentliche Sicherheit|Tiermedizin|Tierschutz|Agrarerzeugnisse und Lebensmittel|Gesundheit|Sport|Elektrizitätsindustrie|Energie|Preis	Elektrizitätsindustrie|Energie|Familie|Bildung|Organisation des Unterrichtswesens|Sport|Verfassungsgerichtsbarkeit|Verwaltungsgerichtsbarkeit|Behinderter|soziale Sicherheit	Öffentliche Finanzen und Haushaltspolitik|Opferhilfe|Vereinsleben|Versammlungsfreiheit|junger Mensch|junger Mensch|Bauindustrie und öffentliches Bauwesen|Baupolitik|Finanzwesen|Wohnungspolitik|Behinderter|Familie|junger Mensch|Finanzwesen	Finanzwesen|Handel|Industrie|Informatik|Information und Informationsverarbeitung|Unternehmen und Wettbewerb		Finanzwesen|Handel|Industrie|Informatik|Information und Informationsverarbeitung|Unternehmen und Wettbewerb
2010-04-22	Verteidigung|Verteidigung	direkt gewählte Kammer|Einkommen|Verfassung|Verwaltung und Entlohnung des Personals|Behinderter|Tourismus	Verteidigung|Beschäftigung und Arbeitsbedingungen|Europäische Union|Parlamentsdebatte|Beschäftigung und Arbeitsbedingungen|Europäische Union|soziale Sicherheit|Familienleistungsausgleich|Land- und Forstwirtschaft, Fischerei|Beschäftigung und Arbeitsbedingungen|Behinderter	Strafrecht|Wahl|Behinderter|Elektrizitätsindustrie	Behinderter		Behinderter
2010-05-05	Europäische Union|Öffentliche Finanzen und Haushaltspolitik|partizipative Demokratie|Währungsbeziehungen	Land- und Forstwirtschaft, Fischerei|Tiermedizin|Tierschutz|Umwelt|soziale Sicherheit|Europäische Union|Öffentliche Finanzen und Haushaltspolitik|Währungsbeziehungen|Europäische Union|Exekutive|Misstrauensantrag|Öffentliche Finanzen und Haushaltspolitik	Europäische Union|Öffentliche Finanzen und Haushaltspolitik|partizipative Demokratie|Währungsbeziehungen|Straßenverkehr|soziale Sicherheit|Sozialpolitik|Informatik|Information und Informationsverarbeitung|öffentliche Sicherheit|Verwaltungsrecht|Land- und Forstwirtschaft, Fischerei|Tiermedizin|Tierschutz|Umwelt|Ausbildungsbeihilfe|junger Mensch|Kulturpolitik|Kunst|Europäische Union|Währungsbeziehungen	Europäische Union|Steuerwesen			
2010-05-11		Agrarerzeugnisse und Lebensmittel|Gesundheit	Agrarerzeugnisse und Lebensmittel|Gesundheit	Agrarerzeugnisse und Lebensmittel|Gesundheit	Gesundheit|junger Mensch|Agrarerzeugnisse und Lebensmittel|Gesundheit		Gesundheit|junger Mensch|Agrarerzeugnisse und Lebensmittel|Gesundheit
2010-05-12					Arbeitsrecht|Sozialpolitik|Behinderter|Gesundheit		Arbeitsrecht|Sozialpolitik|Behinderter|Gesundheit
2010-05-19		Gesundheit|Sport|Arbeitsrecht|soziale Sicherheit|Arbeitsrecht|soziale Sicherheit|Museum|Staatschef|Verfassung|Museum|Europäische Union|Finanzwesen|Steuerwesen|Währungsbeziehungen|Gliedstaat|Öffentliche Finanzen und Haushaltspolitik	Gesundheit|Behinderter|Bildung|Organisation des Unterrichtswesens|Gesetzgebungsverfahren|Staatsangehöriger|Europäische Union|Währungsbeziehungen|Elektrizitätsindustrie|Europäische Union|Währungsbeziehungen|Öffentliche Finanzen und Haushaltspolitik|Verteidigung	Behinderter|Behinderter|Behinderter|Bildung|Organisation des Unterrichtswesens|Vereinte Nationen|ethnische Gruppe|Hochschulausbildung|Kulturpolitik|Kunst|Land- und Forstwirtschaft, Fischerei|Politik der Zusammenarbeit|Umwelt|Behinderter|Frau|Gleichbehandlung|Kulturpolitik|Kunst|Vereinsleben|Versammlungsfreiheit|Elektrizitätsindustrie|Steuerwesen|Steuerwesen|Europäische Union|Finanzwesen|Europäische Union|partizipative Demokratie|Forschung und geistiges Eigentum|Öffentliche Finanzen und Haushaltspolitik|Wissenschaften	Europäische Union|partizipative Demokratie		Europäische Union|partizipative Demokratie
