Datum	A	F	G	N	S	T	V
2014-10-23		Frau|Gleichbehandlung|Menschenrechte|Sport|Land- und Forstwirtschaft, Fischerei|Öffentliche Finanzen und Haushaltspolitik|Verteidigung|öffentliche Sicherheit|Beschäftigung und Arbeitsbedingungen|direkt gewählte Kammer|Einkommen|Verfassung|Verwaltung und Entlohnung des Personals|soziale Sicherheit|Informatik|Information und Informationsverarbeitung|Kulturpolitik|Kunst|Sport|Hochschulausbildung|Land- und Forstwirtschaft, Fischerei|Strafrecht|Öffentliche Finanzen und Haushaltspolitik|Verteidigung|öffentliche Verwaltung|öffentlicher Dienst|Verteidigung|Frau|Gleichbehandlung|Verfassung|Straßenverkehr|Gliedstaat|partizipative Demokratie|Verfassung|Europäische Union|Gesundheit|Informatik|Information und Informationsverarbeitung|Kulturpolitik|Kunst|öffentliches Eigentum|Verteidigung|Geschäftsordnung des Parlaments	Beschäftigung und Arbeitsbedingungen|Flüchtling|öffentliches Eigentum|Handel|Industrie|Kulturpolitik|Kunst|Unternehmen und Wettbewerb|Gesundheit|Gesundheit|Beschäftigung und Arbeitsbedingungen|Flüchtling|Gliedstaat|partizipative Demokratie|Verfassung|Geschäftsordnung des Parlaments	Beschäftigung und Arbeitsbedingungen|Frau|Gleichbehandlung|soziale Sicherheit|Beschäftigung und Arbeitsbedingungen|Flüchtling|Kulturpolitik|Kunst|Verfassung|Bürgerliches Recht|Bürgerliches Recht|Bürgerliches Recht|Arbeitsrecht|Bürgerliches Recht|Darstellende Künste|Kulturpolitik|Kunst|Museum|Gesundheit|Beschäftigung und Arbeitsbedingungen|Beschäftigung und Arbeitsbedingungen|Flüchtling|Geschäftsordnung des Parlaments		Gliedstaat|partizipative Demokratie|Verfassung|Gesundheit|Beschäftigung und Arbeitsbedingungen|Gesundheit	
2014-11-05		soziale Sicherheit|Gesetzgebungsverfahren|Straßenverkehr|soziale Sicherheit|Arbeitslosenversicherung|Beschäftigung und Arbeitsbedingungen|Sozialpolitik|Flüchtling|Flüchtling|öffentliche Sicherheit|Grenze|namentliche Abstimmung		Handel|Industrie|Unternehmen und Wettbewerb|soziale Sicherheit|Gerichtswesen|Wohnungspolitik|Beschäftigung und Arbeitsbedingungen|Flüchtling|Flüchtling|diplomatische Beziehungen	Bildung|Gesundheit|junger Mensch|Organisation des Unterrichtswesens|öffentliche Sicherheit	Beschäftigung und Arbeitsbedingungen|Gesundheit|Sozialpolitik|Agrarerzeugnisse und Lebensmittel|Tourismus|Gesundheit	Bildung|Gesundheit|junger Mensch|Organisation des Unterrichtswesens|öffentliche Sicherheit
2014-11-19		Land- und Forstwirtschaft, Fischerei|namentliche Abstimmung|Öffentliche Finanzen und Haushaltspolitik|Land- und Forstwirtschaft, Fischerei|Öffentliche Finanzen und Haushaltspolitik	soziale Sicherheit|Arbeitsrecht|Gliedstaat|partizipative Demokratie|Verfassung|soziale Sicherheit|Internationale Beziehungen|Vereinte Nationen|Familie|Gesundheit|Arbeitsrecht|junger Mensch|Personalvertretung|Gesundheit|Gesundheit|Straßenverkehr|Arbeitslosenversicherung|soziale Sicherheit|ausländischer Staatsangehöriger|soziale Sicherheit|Gerichtswesen|Strafrecht|Verfassung|Arbeitslosenversicherung|Behinderter|Schienentransport|Forschung und geistiges Eigentum|Wissenschaften|Gesundheit|Einkommen|Verwaltung und Entlohnung des Personals|Verwaltungsorganisation|Fernsehen|Hörfunk|Handel|Industrie|Kulturpolitik|Kunst|Unternehmen und Wettbewerb|Elektrizitäts- und Kernkraftindustrie	junger Mensch|Menschenrechte|Verfassung|Flüchtling|Statistik|Abfall|Abfallwirtschaft|Elektrizitäts- und Kernkraftindustrie|Informatik|Information und Informationsverarbeitung|soziale Sicherheit|Elektrizitätsindustrie|Straßenverkehr|Umwelt|Gerichtswesen|Verwaltungsorganisation		Bürgerliches Recht|Sport|Steuerwesen|Bürgerliches Recht|Sport|Steuerwesen|Agrarerzeugnisse und Lebensmittel|Handel|Industrie|Unternehmen und Wettbewerb	
2014-11-20		Steuerwesen|Steuerwesen|ausländischer Staatsangehöriger|Beschäftigung und Arbeitsbedingungen|soziale Sicherheit|Flüchtling|Trentino-Südtirol|Hochschulausbildung|Steuerwesen|öffentliche Verwaltung|öffentlicher Dienst|Informatik|Information und Informationsverarbeitung|Presse|Einkommen|Steuerwesen|Verwaltung und Entlohnung des Personals|Familienleistungsausgleich|Wohnungspolitik|öffentliche Sicherheit|Verfassung|Menschenrechte|Einkommen|Steuerwesen|Verwaltung und Entlohnung des Personals|Straßen- und Brückenbau	Öffentlicher Sektor|Völkerrecht|Politik der Zusammenarbeit|Öffentliche Finanzen und Haushaltspolitik|Umwelt|Handel|Industrie|Kulturpolitik|Kunst|Unternehmen und Wettbewerb|Einkommen|Verwaltung und Entlohnung des Personals|Verwaltungsorganisation	Frau|Gleichbehandlung|soziale Sicherheit|Frau|Gleichbehandlung|Verwaltungsorganisation|Informatik|Information und Informationsverarbeitung|Luftverkehr|Informatik|Information und Informationsverarbeitung|Frau|Gleichbehandlung|Verwaltungsorganisation|soziale Sicherheit|Presse|Frau|Gleichbehandlung|Informatik|Information und Informationsverarbeitung|soziale Sicherheit|soziale Sicherheit|Frau|Gleichbehandlung	soziale Sicherheit|Agrarerzeugnisse und Lebensmittel|Politik der Zusammenarbeit|Presse	Gesundheit|soziale Sicherheit|Gesundheit|Straßenverkehr|Presse|Tiermedizin|Tierschutz	soziale Sicherheit|Agrarerzeugnisse und Lebensmittel|Politik der Zusammenarbeit|Presse
2014-12-03			öffentliche Sicherheit	öffentliche Sicherheit	öffentliche Sicherheit		öffentliche Sicherheit
2014-12-10		Handel|Industrie|Tabak|Unternehmen und Wettbewerb|Einkommen|soziale Sicherheit|Sozialpolitik|Steuerwesen|Verwaltung und Entlohnung des Personals|soziale Sicherheit|Grenze	Wohnungspolitik|Notar|Rechtsanwalt|Strafrecht|Behinderter|Behinderter|Bildung|Organisation des Unterrichtswesens|Menschenrechte|Strafrecht|soziale Sicherheit|soziale Sicherheit	soziale Sicherheit|soziale Sicherheit|soziale Sicherheit	namentliche Abstimmung|soziale Sicherheit		namentliche Abstimmung|soziale Sicherheit
2014-12-11		Bürgerliches Recht|Familie|öffentliche Verwaltung|öffentlicher Dienst|Schienentransport|Haushaltskontrolle|soziale Sicherheit|soziale Sicherheit|Bürgerliches Recht|Strafrecht|Verwaltungsorganisation|Haushaltskontrolle|soziale Sicherheit|Kulturpolitik|Kunst|Steuerwesen|Strafrecht|Handel|Industrie|Tabak|Unternehmen und Wettbewerb	Post- und Fernmeldewesen|Gesundheit|Post- und Fernmeldewesen|Umwelt|Sekundarstufe|Schienentransport|Wirtschaft|Bürgerliches Recht|Steuerwesen	Straßenverkehr|Informatik|Information und Informationsverarbeitung|soziale Sicherheit|Gliedstaat|Verfassung|soziale Sicherheit|Finanzausgleich|Bürgerliches Recht	Umwelt|Menschenrechte|Strafrecht	Hochschulausbildung	Umwelt|Menschenrechte|Strafrecht
2015-01-14		Gesundheit|Tabak|Gesundheit|Tabak					
2015-01-21		Beschäftigung und Arbeitsbedingungen|Sekundarstufe|soziale Sicherheit|soziale Sicherheit|Agrarerzeugnisse und Lebensmittel|soziale Sicherheit|Arbeitslosenversicherung|soziale Sicherheit|Gesetzgebungsverfahren|Staatsangehöriger|Land- und Forstwirtschaft, Fischerei|Handel|Industrie|Unternehmen und Wettbewerb|Agrarerzeugnisse und Lebensmittel	Bürgerliches Recht|diplomatische Beziehungen|Sozialpolitik|Verfassung|Handel|Industrie|soziale Sicherheit|Unternehmen und Wettbewerb|Tabak|Tabak|Strafrecht|Gliedstaat|Verfassung|Gesundheit|Handel|Industrie|Unternehmen und Wettbewerb|Bürgerliches Recht|Gesundheit	Gesetzgebungsverfahren|Steuerwesen|Gesundheit|Informatik|Information und Informationsverarbeitung|öffentliche Sicherheit|Gliedstaat|soziale Sicherheit|Arbeitsrecht|Sozialpolitik|Gesundheit|Parlamentsdebatte|Wirtschaft|Steuerwesen	Menschenrechte|öffentliche Verwaltung|öffentlicher Dienst|Bürgerliches Recht|Gesundheit	Gesundheit|Forschung und geistiges Eigentum|Gesundheit|Wissenschaften|Agrarerzeugnisse und Lebensmittel|Handel|Industrie|Unternehmen und Wettbewerb	Menschenrechte|öffentliche Verwaltung|öffentlicher Dienst|Bürgerliches Recht|Gesundheit
2015-02-11					Strafrecht		Strafrecht
2015-02-25		soziale Sicherheit|Ausweis|Steuerwesen|Gliedstaat|öffentliche Sicherheit|Hochschulausbildung|Handel|Industrie|Unternehmen und Wettbewerb|Sport|Gesundheit|Familie|Familie|Gesundheit|soziale Sicherheit|Steuerwesen|Tourismus|Beschäftigung und Arbeitsbedingungen|Steuerwesen|Primarstufe|soziale Sicherheit|Informatik|Information und Informationsverarbeitung|öffentliche Sicherheit|Behinderter|Sport|Steuerwesen|Hochschulausbildung|Steuerwesen|Handel|Industrie|Unternehmen und Wettbewerb|Gesundheit|junger Mensch|öffentliche Verwaltung|öffentlicher Dienst|Öffentliche Finanzen und Haushaltspolitik|Gesundheit|junger Mensch|ehrende Auszeichnung|ausländischer Staatsangehöriger|Strafrecht|ausländischer Staatsangehöriger|Beschäftigung und Arbeitsbedingungen|Sozialpolitik	Umwelt|Haushaltskontrolle|Verfassung|Bildung|Organisation des Unterrichtswesens|Presse|Finanzwesen|Sport|Abfall|Abfallwirtschaft|Umwelt|Abfall|Abfallwirtschaft|Umwelt|Exekutive|Misstrauensantrag|Steuerwesen|Steuerwesen|Schienentransport|Handel|Industrie|Unternehmen und Wettbewerb|Informatik|Information und Informationsverarbeitung|öffentliche Sicherheit|Bildung|Organisation des Unterrichtswesens|Internationale Beziehungen|Menschenrechte|Finanzwesen|Sekundarstufe|Berufsverband|Handel|Haushaltskontrolle|Industrie|Unternehmen und Wettbewerb|Haushaltskontrolle|Land- und Forstwirtschaft, Fischerei|Öffentliche Finanzen und Haushaltspolitik|Bildung|Organisation des Unterrichtswesens|Bildung|Organisation des Unterrichtswesens|Sport|Öffentlicher Sektor|öffentliches Eigentum	Ausbildungsbeihilfe|Haushaltskontrolle|Verfassung|Bildung|Organisation des Unterrichtswesens|Flüchtling|junger Mensch|Flüchtling|Flüchtling|Gerichtswesen|soziale Sicherheit|Wirtschaft|Strafrecht|Hochschulausbildung|Bildung|Organisation des Unterrichtswesens|Flüchtling|junger Mensch|Einkommen|Verwaltung und Entlohnung des Personals|Museum|Sport|Bürgerliches Recht|Europäische Union|Presse|Bürgerliches Recht|Flüchtling|Gerichtswesen|Luftverkehr|Steuerwesen|Informatik|Information und Informationsverarbeitung|öffentliche Sicherheit|Post- und Fernmeldewesen|Informatik|Information und Informationsverarbeitung|Informatik|Information und Informationsverarbeitung|Europäische Union|Menschenrechte|soziale Sicherheit|Berufsverband|Gesundheit|Informatik|Information und Informationsverarbeitung|Informatik|Information und Informationsverarbeitung|öffentliche Sicherheit|Hochschulausbildung|Flüchtling|junger Mensch|Finanzausgleich|Gesundheit|Steuerwesen|Bildung|Organisation des Unterrichtswesens|Verwaltungsorganisation|Straßenverkehr|Steuerwesen|Informatik|Information und Informationsverarbeitung|Sozialpolitik|Umwelt|Straßenverkehr|Familie|soziale Sicherheit|Bildung|Organisation des Unterrichtswesens|Bildung|Organisation des Unterrichtswesens|Verwaltungsorganisation|Berufsverband|Frau|Gleichbehandlung|soziale Sicherheit|Flüchtling|junger Mensch|Berufsverband|Handel|Haushaltskontrolle|Industrie|Unternehmen und Wettbewerb	Ausbildungsbeihilfe|Hochschulausbildung|Vereinte Nationen|Informatik|Information und Informationsverarbeitung|öffentliche Sicherheit|Hochschulausbildung	Bildung|Gesundheit|Organisation des Unterrichtswesens|Hochschulausbildung|Sport|Gesundheit|junger Mensch|Haushaltskontrolle|öffentliche Verwaltung|öffentlicher Dienst|Umwelt|Informatik|Information und Informationsverarbeitung|öffentliche Sicherheit|Gesundheit|junger Mensch|Hochschulausbildung|Straßenverkehr|Agrarerzeugnisse und Lebensmittel|soziale Sicherheit|Forschung und geistiges Eigentum|Gesundheit|namentliche Abstimmung|Wissenschaften|Steuerwesen|Wirtschaft|Forschung und geistiges Eigentum|Wissenschaften|Strafrecht|Tiermedizin|Tierschutz|Haushaltskontrolle|öffentliche Verwaltung|öffentlicher Dienst|Agrarerzeugnisse und Lebensmittel|Handel|Industrie|Unternehmen und Wettbewerb	Ausbildungsbeihilfe|Hochschulausbildung|Vereinte Nationen|Informatik|Information und Informationsverarbeitung|öffentliche Sicherheit|Hochschulausbildung
2015-03-10		Internationale Beziehungen|Menschenrechte	Internationale Beziehungen|Menschenrechte		Internationale Beziehungen|Menschenrechte		Internationale Beziehungen|Menschenrechte
2015-03-18		soziale Sicherheit|Exekutive|Verfassung|Verteidigung|öffentliche Sicherheit|Gerichtswesen|Verteidigung|ethnische Gruppe|Religion|Bürgerliches Recht|Familie|partizipative Demokratie|Verfassung|Verteidigung	Finanzwesen	Gerichtswesen|Informatik|Information und Informationsverarbeitung|Steuerwesen|Strafrecht|Gerichtswesen|Informatik|Information und Informationsverarbeitung|Steuerwesen|Finanzwesen|Gliedstaat|Bürgerliches Recht|Gliedstaat		Grenze	
2015-03-25		Strafrecht|ausländischer Staatsangehöriger|Hochschulausbildung|junger Mensch|Strafrecht|Gesundheit	Familienleistungsausgleich|Arbeitsrecht|Familie|Behinderter|Familie|Informatik|Information und Informationsverarbeitung|junger Mensch|Schienentransport|Behinderter|Forschung und geistiges Eigentum|Wissenschaften|Gesundheit|Gesundheit|Gesundheit|Gesundheit|Gesundheit|Gesetzgebungsverfahren|Sozialpolitik|Verfassung|Frau|Gleichbehandlung|Öffentlicher Sektor|Finanzwesen|Öffentliche Finanzen und Haushaltspolitik|Gesundheit|Behinderter|Gesetzgebungsverfahren|Gesundheit|Fernsehen|Gesetzgebungsverfahren|Hörfunk|Handel|Industrie|Unternehmen und Wettbewerb|Vereinfachung der Rechtsvorschriften|Behinderter|Steuerwesen|Energie|Steuerwesen	Arbeitsrecht|Familie|Sozialpolitik|Arbeitsrecht|Land- und Forstwirtschaft, Fischerei|Tourismus|öffentliche Sicherheit|ausländischer Staatsangehöriger|Flüchtling|Wahl|Steuerwesen|Öffentliche Finanzen und Haushaltspolitik|Arbeitsrecht|öffentliche Verwaltung|öffentlicher Dienst|soziale Sicherheit|Verwaltungsorganisation|Politik der Zusammenarbeit|soziale Sicherheit|Flüchtling|Familie|Arbeitsrecht|Familie|Sozialpolitik|soziale Sicherheit|junger Mensch|Vereinte Nationen|Verfassung|Völkerrecht|Familie|Steuerwesen|Politische Partei|Handel|Industrie|Unternehmen und Wettbewerb|Erwachsenenbildung|Familie|Steuerwesen|Wohnungspolitik|Berufsverband|Handel|Industrie|Unternehmen und Wettbewerb|Flüchtling|junger Mensch	Gesundheit|Flüchtling|Gliedstaat|junger Mensch	Arbeitsrecht|öffentliche Verwaltung|öffentlicher Dienst|Handel|Industrie|öffentliche Verwaltung|öffentlicher Dienst|Steuerwesen|Unternehmen und Wettbewerb|öffentliche Sicherheit|öffentliche Verwaltung|öffentlicher Dienst|Gesundheit|junger Mensch	Gesundheit|Flüchtling|Gliedstaat|junger Mensch
2015-03-26		Land- und Forstwirtschaft, Fischerei|Bildung|Organisation des Unterrichtswesens|Internationale Beziehungen|Arbeitsrecht|Straßenverkehr|Umwelt|Arbeitsrecht	Land- und Forstwirtschaft, Fischerei|ausländischer Staatsangehöriger|Flüchtling|öffentliche Sicherheit|öffentliche Sicherheit|öffentliche Sicherheit|öffentliche Sicherheit|Strafrecht	Land- und Forstwirtschaft, Fischerei|Wirtschaft|Handel|Industrie|Unternehmen und Wettbewerb|Verwaltungsreform|Informatik|Information und Informationsverarbeitung|Finanzwesen|Informatik|Information und Informationsverarbeitung|Presse|Bildung|Organisation des Unterrichtswesens|Finanzwesen|Beschäftigung und Arbeitsbedingungen|Handel|Industrie|Unternehmen und Wettbewerb|öffentliche Sicherheit|Wirtschaft|Wahl|Wirtschaft	Wein|Weinbau	Land- und Forstwirtschaft, Fischerei|Internationale Beziehungen|Strafrecht|Presse|Steuerwesen|Gesundheit|Statistik	Wein|Weinbau
2015-04-22		soziale Sicherheit|Kulturpolitik|Kunst|Land- und Forstwirtschaft, Fischerei|Strafrecht|Tiermedizin|Tierschutz|Finanzwesen|öffentliches Eigentum|Verteidigung|Raumordnung|Verkehr|Sozialpolitik	Strafrecht|Tiermedizin|Tierschutz|Menschenrechte|Bürgerliches Recht|soziale Sicherheit|Schienentransport|Agrarerzeugnisse und Lebensmittel|Gesundheit|Land- und Forstwirtschaft, Fischerei|Umwelt|Statistik|Verkehr|Handel|Industrie|Land- und Forstwirtschaft, Fischerei|Umwelt|Unternehmen und Wettbewerb|Steuerwesen|Tourismus|Land- und Forstwirtschaft, Fischerei|Umwelt|öffentliches Eigentum|Wohnungspolitik|Verfassung|Verwaltungsrecht|Flüchtling|See- und Binnenschiffsverkehr|Schienentransport|öffentliches Eigentum|Verteidigung|Politik der Zusammenarbeit|junger Mensch|Verkehr|Raumordnung|Straßen- und Brückenbau	Fernsehen|Hörfunk|öffentliche Sicherheit|öffentliche Verwaltung|öffentlicher Dienst|Bildung|Organisation des Unterrichtswesens|öffentliche Verwaltung|öffentlicher Dienst|Menschenrechte|Europäische Union|Flüchtling|Europäische Union|Flüchtling|See- und Binnenschiffsverkehr|Europäische Union|Flüchtling|Bildung|Organisation des Unterrichtswesens|Bildung|Organisation des Unterrichtswesens|Sekundarstufe|Steuerwesen|Handel|Industrie|Unternehmen und Wettbewerb|Verwaltungsreform|Europäische Union|Flüchtling|See- und Binnenschiffsverkehr|Politik der Zusammenarbeit|Bildung|Organisation des Unterrichtswesens|Sekundarstufe|Politik der Zusammenarbeit|Beschäftigung und Arbeitsbedingungen|Flüchtling|See- und Binnenschiffsverkehr|Bildung|Organisation des Unterrichtswesens|Verwaltungsorganisation|Sozialpolitik|Sekundarstufe|öffentliche Verwaltung|öffentlicher Dienst|soziale Sicherheit|Verwaltungsorganisation|Gerichtswesen|Gerichtswesen|Bildung|Organisation des Unterrichtswesens|Sekundarstufe|Flüchtling|Bildung|Organisation des Unterrichtswesens	Politik der Zusammenarbeit|Flüchtling|See- und Binnenschiffsverkehr|Preis|Sozialpolitik|Verkehr	Umwelt|Frau|Gleichbehandlung|soziale Sicherheit|Gesundheit|Steuerwesen|Wasser|Wasserbewirtschaftung|Statistik|Straßenverkehr	Politik der Zusammenarbeit|Flüchtling|See- und Binnenschiffsverkehr|Preis|Sozialpolitik|Verkehr
2015-04-23		Finanzwesen|Gliedstaat|Gesundheit|Straßenverkehr|Umwelt|Gliedstaat|Steuerwesen|Wohnungspolitik	Fernsehen|Hörfunk|Geschäftsordnung des Parlaments|Haushaltskontrolle|soziale Sicherheit|Einkommen|Verwaltung und Entlohnung des Personals|Wein|Weinbau|Bürgerliches Recht|Einkommen|Verwaltung und Entlohnung des Personals|Tiermedizin|Tierschutz|Tiermedizin|Tierschutz	öffentliche Verwaltung|öffentlicher Dienst|Exekutive|Verkehr|Menschenrechte|Verwaltungskontrolle|öffentliche Sicherheit|Statistik|Verkehr|Raumordnung|Schienentransport|Geschäftsordnung des Parlaments|Verwaltungskontrolle|Europäische Union|Flüchtling|Raumordnung|Straßen- und Brückenbau|Verkehr|Europäische Union|Flüchtling|Arbeitsrecht|Familie|soziale Sicherheit|Handel|Industrie|Unternehmen und Wettbewerb|Berufsverband|Handel|Haushaltskontrolle|Industrie|Unternehmen und Wettbewerb|Verfassung|Berufsverband|Strafrecht	Elektrizitäts- und Kernkraftindustrie|Strafrecht|Gesundheit|Umwelt|Frau|Gleichbehandlung|Vereinte Nationen	Gesundheit|Strafrecht|Gesundheit|Steuerwesen|Arbeitsrecht|Familie|soziale Sicherheit|Berufsverband|Steuerwesen	Elektrizitäts- und Kernkraftindustrie|Strafrecht|Gesundheit|Umwelt|Frau|Gleichbehandlung|Vereinte Nationen
2015-05-04		Elektrizitätsindustrie|Energie|Beschäftigung und Arbeitsbedingungen|Elektrizitätsindustrie|Energie|Beschäftigung und Arbeitsbedingungen|Flüchtling|soziale Sicherheit	Europäische Union|Flüchtling|Handel|Industrie|Unternehmen und Wettbewerb|Europäische Union|Flüchtling|See- und Binnenschiffsverkehr|Europäische Union|Flüchtling|See- und Binnenschiffsverkehr|Politik der Zusammenarbeit|Politik der Zusammenarbeit	Europäische Union|Flüchtling|Europäische Union|Flüchtling|diplomatische Beziehungen|Flüchtling|Europäische Union|Flüchtling|See- und Binnenschiffsverkehr	Europäische Union|Flüchtling|See- und Binnenschiffsverkehr	ausländischer Staatsangehöriger|Flüchtling|öffentliche Sicherheit	Europäische Union|Flüchtling|See- und Binnenschiffsverkehr
2015-05-20		Gesundheit|Handel|Industrie|Unternehmen und Wettbewerb|soziale Sicherheit|Land- und Forstwirtschaft, Fischerei|namentliche Abstimmung|Straßenverkehr|Gesundheit|Handel|Industrie|Unternehmen und Wettbewerb|soziale Sicherheit|Beschäftigung und Arbeitsbedingungen|Steuerwesen|Tourismus|Einkommen|Verwaltung und Entlohnung des Personals|soziale Sicherheit|soziale Sicherheit|namentliche Abstimmung|Verteidigung|Handel|Industrie|soziale Sicherheit|Unternehmen und Wettbewerb|direkt gewählte Kammer|namentliche Abstimmung|Kulturpolitik|Kunst|namentliche Abstimmung|Verteidigung|Steuerwesen|Tourismus	Gesundheit|ausländischer Staatsangehöriger|Gesetzgebungsverfahren|Handel|Industrie|Unternehmen und Wettbewerb|Gesundheit|Sozialpolitik|öffentliche Sicherheit|Land- und Forstwirtschaft, Fischerei|Bildung|Organisation des Unterrichtswesens|namentliche Abstimmung|Bildung|Organisation des Unterrichtswesens|Sekundarstufe	Geschäftsordnung des Parlaments|Gesetzgebungsverfahren|Verwaltungskontrolle|Energie|Bürgerliches Recht|Finanzausgleich|Bürgerliches Recht|Gliedstaat|Hochschulausbildung|öffentliche Verwaltung|öffentlicher Dienst|öffentliche Verwaltung|öffentlicher Dienst|Wirtschaft|Hochschulausbildung|Exekutive|Steuerwesen|Finanzausgleich|Forschung und geistiges Eigentum|Wissenschaften|Gliedstaat|Verfassung|Wirtschaft|Arbeitsrecht|Handel|Industrie|Unternehmen und Wettbewerb|Erwachsenenbildung|Finanzausgleich|soziale Sicherheit|Wirtschaft|Informatik|Information und Informationsverarbeitung|Arbeitsrecht|Handel|Industrie|Unternehmen und Wettbewerb|Arbeitsrecht|Finanzwesen|Gliedstaat|Bürgerliches Recht|Wirtschaft|Sekundarstufe|Exekutive|Handel|Industrie|Unternehmen und Wettbewerb|Handel|Industrie|Unternehmen und Wettbewerb|Wirtschaft|Hochschulausbildung	Politik der Zusammenarbeit|Kulturpolitik|Kunst|Verteidigung	Finanzwesen|Handel|Industrie|Parlamentsdebatte|Steuerwesen|Tabak|Tourismus|Unternehmen und Wettbewerb|Kulturpolitik|Kunst|Verteidigung|Agrarerzeugnisse und Lebensmittel|Tourismus	Politik der Zusammenarbeit|Kulturpolitik|Kunst|Verteidigung
2015-05-21		Elektrizitäts- und Kernkraftindustrie|Straßenverkehr|Strafrecht|Wein|Weinbau|namentliche Abstimmung|öffentliche Verwaltung|öffentlicher Dienst|Elektrizitäts- und Kernkraftindustrie|Flüchtling|namentliche Abstimmung|Verteidigung	Arbeitsrecht|Gesundheit|Straßenverkehr|Umwelt|Wasser|Wasserbewirtschaftung|namentliche Abstimmung|öffentliche Verwaltung|öffentlicher Dienst|Elektrizitäts- und Kernkraftindustrie	Informatik|Information und Informationsverarbeitung|Bauindustrie und öffentliches Bauwesen|Baupolitik|Umwelt|Wohnungspolitik|Bildung|öffentliche Verwaltung|öffentlicher Dienst|Organisation des Unterrichtswesens|Umwelt|Wasser|Wasserbewirtschaftung|namentliche Abstimmung|öffentliche Verwaltung|öffentlicher Dienst|Beschäftigung und Arbeitsbedingungen|Flüchtling|Flüchtling	Straßenverkehr|Straßenverkehr|Umwelt|Wasser|Wasserbewirtschaftung|Flüchtling|junger Mensch|Elektrizitäts- und Kernkraftindustrie	Agrarerzeugnisse und Lebensmittel|Tourismus|Agrarerzeugnisse und Lebensmittel|Handel|Industrie|Unternehmen und Wettbewerb|Agrarerzeugnisse und Lebensmittel|Tourismus|Umwelt|Wasser|Wasserbewirtschaftung|namentliche Abstimmung|öffentliche Verwaltung|öffentlicher Dienst|Grenze|namentliche Abstimmung|öffentliche Verwaltung|öffentlicher Dienst	Straßenverkehr|Straßenverkehr|Umwelt|Wasser|Wasserbewirtschaftung|Flüchtling|junger Mensch|Elektrizitäts- und Kernkraftindustrie
2015-06-08		Agrarerzeugnisse und Lebensmittel|Agrarerzeugnisse und Lebensmittel|Agrarerzeugnisse und Lebensmittel	öffentliche Sicherheit|Steuerwesen|Finanzwesen|Informatik|Information und Informationsverarbeitung|öffentliche Sicherheit|Steuerwesen|Informatik|Information und Informationsverarbeitung|öffentliche Sicherheit|Post- und Fernmeldewesen|Strafrecht	Öffentliche Finanzen und Haushaltspolitik|Bürgerliches Recht|direkt gewählte Kammer|Finanzwesen|Gliedstaat|Informatik|Information und Informationsverarbeitung|Luftverkehr|öffentliche Sicherheit|öffentliche Verwaltung|öffentlicher Dienst|Öffentlicher Sektor|Parlamentsdebatte|Gesundheit|öffentliche Sicherheit|öffentliche Sicherheit|Informatik|Information und Informationsverarbeitung|öffentliche Sicherheit|Post- und Fernmeldewesen|Öffentliche Finanzen und Haushaltspolitik		Bürgerliches Recht|direkt gewählte Kammer|Finanzwesen|Gliedstaat|Informatik|Information und Informationsverarbeitung|Luftverkehr|öffentliche Sicherheit|öffentliche Verwaltung|öffentlicher Dienst|Öffentlicher Sektor|Parlamentsdebatte|Bildung|Organisation des Unterrichtswesens	
2015-06-17		Hochschulausbildung|Ausweis|Behinderter|Familienleistungsausgleich|namentliche Abstimmung|Sozialpolitik|Grenze|Bildung|Organisation des Unterrichtswesens|Primarstufe	Bildung|Organisation des Unterrichtswesens|Primarstufe|Steuerwesen|Forschung und geistiges Eigentum|Wissenschaften|Handel|Industrie|Unternehmen und Wettbewerb|Primarstufe|Vereinte Nationen|diplomatische Beziehungen|Forschung und geistiges Eigentum|Frau|Gleichbehandlung|Wissenschaften|Strafrecht|Familienleistungsausgleich|Steuerwesen|Verfassung|Verwaltungskontrolle|Agrarerzeugnisse und Lebensmittel|Forschung und geistiges Eigentum|Verfassung|Wissenschaften|öffentliche Verwaltung|öffentlicher Dienst|Menschenrechte|Exekutive|Misstrauensantrag	soziale Sicherheit|Flüchtling|Flüchtling|Flüchtling|Verfassung|Verwaltungskontrolle|Verfassung|Verwaltungskontrolle|Geschäftsordnung des Parlaments|Gesetzgebungsverfahren|Flüchtling	Bürgerliches Recht|Notar|Rechtsanwalt	Strafrecht|Strafrecht	Bürgerliches Recht|Notar|Rechtsanwalt
2015-06-18		Umwelt|Primarstufe|Gesundheit|Tourismus|Wirtschaft|Straßenverkehr|Gesundheit|öffentliche Verwaltung|öffentlicher Dienst|Straßenverkehr	Gesundheit|öffentliche Verwaltung|öffentlicher Dienst|Gesundheit|Arbeitsrecht|Land- und Forstwirtschaft, Fischerei|Umwelt|Gesundheit|Verwaltungskontrolle|Bürgerliches Recht|namentliche Abstimmung	öffentliche Verwaltung|öffentlicher Dienst|Verfassung|Presse|Gesundheit	Wirtschaft|Gesundheit|Straßenverkehr	soziale Sicherheit|Strafrecht|Tiermedizin|Tierschutz|Verwaltungsrecht|Gesundheit|Informatik|Information und Informationsverarbeitung|soziale Sicherheit|Sozialpolitik|Bauindustrie und öffentliches Bauwesen|Baupolitik|Raumordnung|Straßen- und Brückenbau|Umwelt|Umwelt|Gesundheit	Wirtschaft|Gesundheit|Straßenverkehr
